notice_id,capital_call_id,commitment_id,investor_id,fund_id,feeder_id,offering_id,call_number,call_date,due_date,committed_amount_usd,call_percentage,call_amount_usd,equalization_amount_usd,total_due_usd,payment_status,payment_date,payment_reference,bank_account,unfunded_commitment_usd,cumulative_called_pct
CCN-00011,FUND-ABF-IX-CC1,COMM-0112,INV-0125,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,269993075.0,30.0,80997922.5,3239916.9,84237839.4,Paid,2021-09-25,WIRE-000011,CITI-334455667,188995152.5,30.0
CCN-00012,FUND-ABF-IX-CC1,COMM-0120,INV-0137,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,228008376.0,30.0,68402512.8,0.0,68402512.8,Paid,2021-09-25,WIRE-000012,JPMC-445566778,159605863.2,30.0
CCN-00013,FUND-ABF-IX-CC1,COMM-0126,INV-0032,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,173951986.0,30.0,52185595.8,0.0,52185595.8,Paid,2021-09-25,WIRE-000013,CITI-334455667,121766390.2,30.0
CCN-00014,FUND-ABF-IX-CC1,COMM-0165,INV-0028,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,159199846.0,30.0,47759953.8,0.0,47759953.8,Paid,2021-09-25,WIRE-000014,CITI-334455667,111439892.2,30.0
CCN-00015,FUND-ABF-IX-CC1,COMM-0186,INV-0050,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,186481046.0,30.0,55944313.8,0.0,55944313.8,Paid,2021-09-25,WIRE-000015,CITI-334455667,130536732.2,30.0
CCN-00016,FUND-ABF-IX-CC1,COMM-0189,INV-0133,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,276157339.0,30.0,82847201.7,0.0,82847201.7,Paid,2021-09-25,WIRE-000016,BOFA-223344556,193310137.3,30.0
CCN-00017,FUND-ABF-IX-CC1,COMM-0205,INV-0158,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,255163126.0,30.0,76548937.8,0.0,76548937.8,Paid,2021-09-25,WIRE-000017,CITI-334455667,178614188.2,30.0
CCN-00018,FUND-ABF-IX-CC1,COMM-0232,INV-0141,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,232425443.0,30.0,69727632.9,0.0,69727632.9,Paid,2021-09-25,WIRE-000018,JPMC-445566778,162697810.1,30.0
CCN-00019,FUND-ABF-IX-CC1,COMM-0241,INV-0078,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,159378291.0,30.0,47813487.3,0.0,47813487.3,Paid,2021-09-25,WIRE-000019,JPMC-445566778,111564803.7,30.0
CCN-00020,FUND-ABF-IX-CC1,COMM-0252,INV-0187,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,31608110.0,30.0,9482433.0,0.0,9482433.0,Paid,2021-09-25,WIRE-000020,BOFA-223344556,22125677.0,30.0
CCN-00021,FUND-ABF-IX-CC1,COMM-0263,INV-0003,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,208079929.0,30.0,62423978.7,2496959.15,64920937.85,Paid,2021-09-25,WIRE-000021,JPMC-445566778,145655950.3,30.0
CCN-00022,FUND-ABF-IX-CC1,COMM-0265,INV-0195,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,109877714.0,30.0,32963314.2,0.0,32963314.2,Paid,2021-09-25,WIRE-000022,BOFA-223344556,76914399.8,30.0
CCN-00023,FUND-ABF-IX-CC1,COMM-0268,INV-0065,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,213454664.0,30.0,64036399.2,2561455.97,66597855.17,Paid,2021-09-25,WIRE-000023,JPMC-445566778,149418264.8,30.0
CCN-00024,FUND-ABF-IX-CC1,COMM-0281,INV-0120,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,169615867.0,30.0,50884760.1,2035390.4,52920150.5,Paid,2021-09-25,WIRE-000024,JPMC-445566778,118731106.9,30.0
CCN-00025,FUND-ABF-IX-CC1,COMM-0282,INV-0095,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,161061145.0,30.0,48318343.5,1932733.74,50251077.24,Paid,2021-09-25,WIRE-000025,JPMC-445566778,112742801.5,30.0
CCN-00026,FUND-ABF-IX-CC1,COMM-0291,INV-0102,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,294972159.0,30.0,88491647.7,0.0,88491647.7,Paid,2021-09-25,WIRE-000026,CITI-334455667,206480511.3,30.0
CCN-00027,FUND-ABF-IX-CC1,COMM-0293,INV-0081,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,276138064.0,30.0,82841419.2,3313656.77,86155075.97,Paid,2021-09-25,WIRE-000027,BOFA-223344556,193296644.8,30.0
CCN-00028,FUND-ABF-IX-CC1,COMM-0294,INV-0025,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,109918447.0,30.0,32975534.1,1319021.36,34294555.46,Paid,2021-09-25,WIRE-000028,JPMC-445566778,76942912.9,30.0
CCN-00029,FUND-ABF-IX-CC1,COMM-0299,INV-0021,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,107639411.0,30.0,32291823.3,1291672.93,33583496.230000004,Paid,2021-09-25,WIRE-000029,JPMC-445566778,75347587.7,30.0
CCN-00030,FUND-ABF-IX-CC1,COMM-0303,INV-0040,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,291456872.0,30.0,87437061.6,3497482.46,90934544.05999999,Paid,2021-09-25,WIRE-000030,JPMC-445566778,204019810.4,30.0
CCN-00031,FUND-ABF-IX-CC1,COMM-0314,INV-0029,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,284937570.0,30.0,85481271.0,0.0,85481271.0,Paid,2021-09-25,WIRE-000031,BOFA-223344556,199456299.0,30.0
CCN-00032,FUND-ABF-IX-CC1,COMM-0315,INV-0074,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,209669591.0,30.0,62900877.3,2516035.09,65416912.39,Paid,2021-09-25,WIRE-000032,CITI-334455667,146768713.7,30.0
CCN-00033,FUND-ABF-IX-CC1,COMM-0318,INV-0178,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,176986458.0,30.0,53095937.4,2123837.5,55219774.9,Paid,2021-09-25,WIRE-000033,BOFA-223344556,123890520.6,30.0
CCN-00034,FUND-ABF-IX-CC1,COMM-0346,INV-0133,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,90897912.0,30.0,27269373.6,0.0,27269373.6,Paid,2021-09-25,WIRE-000034,BOFA-223344556,63628538.4,30.0
CCN-00035,FUND-ABF-IX-CC1,COMM-0359,INV-0140,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,75174114.0,30.0,22552234.2,902089.37,23454323.57,Paid,2021-09-25,WIRE-000035,CITI-334455667,52621879.8,30.0
CCN-00036,FUND-ABF-IX-CC1,COMM-0363,INV-0038,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,102677771.0,30.0,30803331.3,1232133.25,32035464.55,Paid,2021-09-25,WIRE-000036,CITI-334455667,71874439.7,30.0
CCN-00037,FUND-ABF-IX-CC1,COMM-0369,INV-0157,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,173553287.0,30.0,52065986.1,0.0,52065986.1,Paid,2021-09-25,WIRE-000037,JPMC-445566778,121487300.9,30.0
CCN-00038,FUND-ABF-IX-CC1,COMM-0388,INV-0096,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,274439385.0,30.0,82331815.5,0.0,82331815.5,Paid,2021-09-25,WIRE-000038,BOFA-223344556,192107569.5,30.0
CCN-00039,FUND-ABF-IX-CC1,COMM-0419,INV-0149,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,199960011.0,30.0,59988003.3,0.0,59988003.3,Paid,2021-09-25,WIRE-000039,BOFA-223344556,139972007.7,30.0
CCN-00040,FUND-ABF-IX-CC1,COMM-0429,INV-0035,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,196274827.0,30.0,58882448.1,0.0,58882448.1,Paid,2021-09-25,WIRE-000040,CITI-334455667,137392378.9,30.0
CCN-00041,FUND-ABF-IX-CC1,COMM-0433,INV-0155,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,254807147.0,30.0,76442144.1,3057685.76,79499829.86,Paid,2021-09-25,WIRE-000041,JPMC-445566778,178365002.9,30.0
CCN-00042,FUND-ABF-IX-CC1,COMM-0438,INV-0157,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,162834812.0,30.0,48850443.6,1954017.74,50804461.34,Paid,2021-09-25,WIRE-000042,JPMC-445566778,113984368.4,30.0
CCN-00043,FUND-ABF-IX-CC1,COMM-0442,INV-0147,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,243624255.0,30.0,73087276.5,2923491.06,76010767.56,Paid,2021-09-25,WIRE-000043,CITI-334455667,170536978.5,30.0
CCN-00044,FUND-ABF-IX-CC1,COMM-0465,INV-0071,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,119634176.0,30.0,35890252.8,1435610.11,37325862.91,Paid,2021-09-25,WIRE-000044,JPMC-445566778,83743923.2,30.0
CCN-00045,FUND-ABF-IX-CC1,COMM-0472,INV-0148,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,146051131.0,30.0,43815339.3,1752613.57,45567952.87,Paid,2021-09-25,WIRE-000045,JPMC-445566778,102235791.7,30.0
CCN-00046,FUND-ABF-IX-CC1,COMM-0482,INV-0087,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,237394667.0,30.0,71218400.1,2848736.0,74067136.1,Paid,2021-09-25,WIRE-000046,JPMC-445566778,166176266.9,30.0
CCN-00047,FUND-ABF-IX-CC1,COMM-0485,INV-0126,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,272617769.0,30.0,81785330.7,3271413.23,85056743.93,Paid,2021-09-25,WIRE-000047,BOFA-223344556,190832438.3,30.0
CCN-00048,FUND-ABF-IX-CC1,COMM-0494,INV-0021,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,57926793.0,30.0,17378037.9,0.0,17378037.9,Paid,2021-09-25,WIRE-000048,CITI-334455667,40548755.1,30.0
CCN-00049,FUND-ABF-IX-CC2,COMM-0005,INV-0011,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,267662409.0,25.0,66915602.25,0.0,66915602.25,Paid,2022-03-25,WIRE-000049,JPMC-445566778,120448084.05,55.00000000000001
CCN-00050,FUND-ABF-IX-CC2,COMM-0035,INV-0070,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,58234717.0,25.0,14558679.25,0.0,14558679.25,Paid,2022-03-25,WIRE-000050,CITI-334455667,26205622.65,55.00000000000001
CCN-00051,FUND-ABF-IX-CC2,COMM-0036,INV-0074,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,259143749.0,25.0,64785937.25,0.0,64785937.25,Paid,2022-03-25,WIRE-000051,JPMC-445566778,116614687.05,55.00000000000001
CCN-00052,FUND-ABF-IX-CC2,COMM-0040,INV-0085,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,254736712.0,25.0,63684178.0,0.0,63684178.0,Paid,2022-03-25,WIRE-000052,JPMC-445566778,114631520.4,55.00000000000001
CCN-00053,FUND-ABF-IX-CC2,COMM-0047,INV-0098,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,310386530.0,25.0,77596632.5,0.0,77596632.5,Paid,2022-03-25,WIRE-000053,CITI-334455667,139673938.5,55.00000000000001
CCN-00054,FUND-ABF-IX-CC2,COMM-0054,INV-0108,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,86348542.0,25.0,21587135.5,0.0,21587135.5,Paid,2022-03-25,WIRE-000054,BOFA-223344556,38856843.9,55.00000000000001
CCN-00055,FUND-ABF-IX-CC2,COMM-0069,INV-0143,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,221826942.0,25.0,55456735.5,0.0,55456735.5,Paid,2022-03-25,WIRE-000055,CITI-334455667,99822123.9,55.00000000000001
CCN-00056,FUND-ABF-IX-CC2,COMM-0072,INV-0147,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,205177881.0,25.0,51294470.25,0.0,51294470.25,Paid,2022-03-25,WIRE-000056,JPMC-445566778,92330046.45,55.00000000000001
CCN-00057,FUND-ABF-IX-CC2,COMM-0090,INV-0198,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,58176154.0,25.0,14544038.5,0.0,14544038.5,Paid,2022-03-25,WIRE-000057,CITI-334455667,26179269.3,55.00000000000001
CCN-00058,FUND-ABF-IX-CC2,COMM-0108,INV-0144,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,202336848.0,25.0,50584212.0,0.0,50584212.0,Paid,2022-03-25,WIRE-000058,JPMC-445566778,91051581.6,55.00000000000001
CCN-00059,FUND-ABF-IX-CC2,COMM-0112,INV-0125,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,269993075.0,25.0,67498268.75,0.0,67498268.75,Paid,2022-03-25,WIRE-000059,JPMC-445566778,121496883.75,55.00000000000001
CCN-00060,FUND-ABF-IX-CC2,COMM-0120,INV-0137,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,228008376.0,25.0,57002094.0,0.0,57002094.0,Paid,2022-03-25,WIRE-000060,BOFA-223344556,102603769.2,55.00000000000001
CCN-00061,FUND-ABF-IX-CC2,COMM-0126,INV-0032,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,173951986.0,25.0,43487996.5,0.0,43487996.5,Paid,2022-03-25,WIRE-000061,CITI-334455667,78278393.7,55.00000000000001
CCN-00062,FUND-ABF-IX-CC2,COMM-0165,INV-0028,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,159199846.0,25.0,39799961.5,0.0,39799961.5,Paid,2022-03-25,WIRE-000062,JPMC-445566778,71639930.7,55.00000000000001
CCN-00063,FUND-ABF-IX-CC2,COMM-0186,INV-0050,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,186481046.0,25.0,46620261.5,0.0,46620261.5,Paid,2022-03-25,WIRE-000063,CITI-334455667,83916470.7,55.00000000000001
CCN-00064,FUND-ABF-IX-CC2,COMM-0189,INV-0133,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,276157339.0,25.0,69039334.75,0.0,69039334.75,Paid,2022-03-25,WIRE-000064,CITI-334455667,124270802.55,55.00000000000001
CCN-00065,FUND-ABF-IX-CC2,COMM-0205,INV-0158,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,255163126.0,25.0,63790781.5,0.0,63790781.5,Paid,2022-03-25,WIRE-000065,JPMC-445566778,114823406.7,55.00000000000001
CCN-00066,FUND-ABF-IX-CC2,COMM-0232,INV-0141,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,232425443.0,25.0,58106360.75,0.0,58106360.75,Paid,2022-03-25,WIRE-000066,CITI-334455667,104591449.35,55.00000000000001
CCN-00067,FUND-ABF-IX-CC2,COMM-0241,INV-0078,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,159378291.0,25.0,39844572.75,0.0,39844572.75,Paid,2022-03-25,WIRE-000067,BOFA-223344556,71720230.95,55.00000000000001
CCN-00068,FUND-ABF-IX-CC2,COMM-0252,INV-0187,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,31608110.0,25.0,7902027.5,0.0,7902027.5,Paid,2022-03-25,WIRE-000068,JPMC-445566778,14223649.5,55.00000000000001
CCN-00069,FUND-ABF-IX-CC2,COMM-0263,INV-0003,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,208079929.0,25.0,52019982.25,0.0,52019982.25,Paid,2022-03-25,WIRE-000069,BOFA-223344556,93635968.05,55.00000000000001
CCN-00070,FUND-ABF-IX-CC2,COMM-0265,INV-0195,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,109877714.0,25.0,27469428.5,0.0,27469428.5,Paid,2022-03-25,WIRE-000070,CITI-334455667,49444971.3,55.00000000000001
CCN-00071,FUND-ABF-IX-CC2,COMM-0268,INV-0065,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,213454664.0,25.0,53363666.0,0.0,53363666.0,Paid,2022-03-25,WIRE-000071,CITI-334455667,96054598.8,55.00000000000001
CCN-00072,FUND-ABF-IX-CC2,COMM-0281,INV-0120,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,169615867.0,25.0,42403966.75,0.0,42403966.75,Paid,2022-03-25,WIRE-000072,JPMC-445566778,76327140.15,55.00000000000001
CCN-00073,FUND-ABF-IX-CC2,COMM-0282,INV-0095,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,161061145.0,25.0,40265286.25,0.0,40265286.25,Paid,2022-03-25,WIRE-000073,CITI-334455667,72477515.25,55.00000000000001
CCN-00074,FUND-ABF-IX-CC2,COMM-0291,INV-0102,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,294972159.0,25.0,73743039.75,0.0,73743039.75,Paid,2022-03-25,WIRE-000074,JPMC-445566778,132737471.55,55.00000000000001
CCN-00075,FUND-ABF-IX-CC2,COMM-0293,INV-0081,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,276138064.0,25.0,69034516.0,0.0,69034516.0,Paid,2022-03-25,WIRE-000075,JPMC-445566778,124262128.8,55.00000000000001
CCN-00076,FUND-ABF-IX-CC2,COMM-0294,INV-0025,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,109918447.0,25.0,27479611.75,0.0,27479611.75,Paid,2022-03-25,WIRE-000076,BOFA-223344556,49463301.15,55.00000000000001
CCN-00077,FUND-ABF-IX-CC2,COMM-0299,INV-0021,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,107639411.0,25.0,26909852.75,0.0,26909852.75,Paid,2022-03-25,WIRE-000077,BOFA-223344556,48437734.95,55.00000000000001
CCN-00078,FUND-ABF-IX-CC2,COMM-0303,INV-0040,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,291456872.0,25.0,72864218.0,0.0,72864218.0,Paid,2022-03-25,WIRE-000078,JPMC-445566778,131155592.4,55.00000000000001
CCN-00079,FUND-ABF-IX-CC2,COMM-0314,INV-0029,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,284937570.0,25.0,71234392.5,0.0,71234392.5,Paid,2022-03-25,WIRE-000079,CITI-334455667,128221906.5,55.00000000000001
CCN-00080,FUND-ABF-IX-CC2,COMM-0315,INV-0074,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,209669591.0,25.0,52417397.75,0.0,52417397.75,Paid,2022-03-25,WIRE-000080,JPMC-445566778,94351315.95,55.00000000000001
CCN-00081,FUND-ABF-IX-CC2,COMM-0318,INV-0178,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,176986458.0,25.0,44246614.5,0.0,44246614.5,Paid,2022-03-25,WIRE-000081,JPMC-445566778,79643906.1,55.00000000000001
CCN-00082,FUND-ABF-IX-CC2,COMM-0346,INV-0133,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,90897912.0,25.0,22724478.0,0.0,22724478.0,Paid,2022-03-25,WIRE-000082,CITI-334455667,40904060.4,55.00000000000001
CCN-00083,FUND-ABF-IX-CC2,COMM-0359,INV-0140,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,75174114.0,25.0,18793528.5,0.0,18793528.5,Paid,2022-03-25,WIRE-000083,CITI-334455667,33828351.3,55.00000000000001
CCN-00084,FUND-ABF-IX-CC2,COMM-0363,INV-0038,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2022-03-15,2022-03-25,102677771.0,25.0,25669442.75,0.0,25669442.75,Paid,2022-03-25,WIRE-000084,CITI-334455667,46204996.95,55.00000000000001
CCN-00085,FUND-ABF-IX-CC2,COMM-0369,INV-0157,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,2,2022-03-15,2022-03-25,173553287.0,25.0,43388321.75,0.0,43388321.75,Paid,2022-03-25,WIRE-000085,JPMC-445566778,78098979.15,55.00000000000001
