golden_id,event_type,firm_name,firm_canonical,has_crd,lead_first,lead_last,team_name_current,team_name_prior,street,city,state,zip_
39,MEMBER_CHANGE,Crestwood Family Office,crestwood,False,Patricia,Adams,Brown Private Wealth,Brown Private Wealth,1036 Oak Pkwy,Raleigh,NC,27601
40,MEMBER_CHANGE,Cambridge Investment Research,cambridge_inv,True,Nancy,Anderson,Taylor Wealth Management Group,Taylor Wealth Management Group,8420 Maple Blvd,Houston,TX,77001
41,MEMBER_CHANGE,Woodbury Financial Services,woodbury,True,Susan,Scott,Cruz Advisory Group,Cruz Advisory Group,6715 Cedar Pkwy,Charlotte,NC,28201
42,MEMBER_CHANGE,National Planning Holdings,nph,True,Betty,Adams,Williams Portfolio Group,Williams Portfolio Group,1443 Madison Pkwy,Portland,OR,97201
43,MEMBER_CHANGE,Cambridge Investment Research,cambridge_inv,True,Robert,Martin,Kim Wealth Partners,Kim Wealth Partners,3446 Union Pl,Charlotte,NC,28201
44,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Steven,Johnson,Wilson Institutional Group,Wilson Institutional Group,5015 Jefferson Pl,Houston,TX,77001
45,MEMBER_CHANGE,Morgan Stanley Wealth Management,morgan_stanley,True,Lisa,Williams,Evans Portfolio Group,Evans Portfolio Group,1738 Maple Court,Fort Worth,TX,76101
46,MEMBER_CHANGE,Cambridge Investment Research,cambridge_inv,True,Megan,Williams,Wilson Capital Group,Wilson Capital Group,1227 Lake Pl,Seattle,WA,98101
47,MEMBER_CHANGE,LPL Financial,lpl_financial,True,William,Martin,Chen Wealth Advisors,Chen Wealth Advisors,5056 Broad Court,New York,NY,10001
48,MEMBER_CHANGE,Ridgeway Wealth Management,ridgeway,False,Thomas,Moore,Allen Wealth,Allen Wealth,2300 Hill Ave,Philadelphia,PA,19101
49,MEMBER_CHANGE,Crestwood Family Office,crestwood,False,Sandra,Wang,Moore Investment Partners,Moore Investment Partners,4716 Broad Dr,Oklahoma City,OK,73101
50,MERGE_TARGET,Edward Jones,edward_jones,True,Steven,Rivera,Rivera Financial Group,Rivera Financial Group,4214 Oak Ave,Milwaukee,WI,53201
51,MEMBER_CHANGE,Clearwater Capital Group,clearwater,False,Lisa,Thomas,Williams Partners,Williams Partners,5564 Monroe Blvd,Indianapolis,IN,46201
52,MEMBER_CHANGE,LPL Financial,lpl_financial,True,Betty,Khan,Carter Family Wealth Group,Carter Family Wealth Group,7107 Central St,San Antonio,TX,78201
53,MEMBER_CHANGE,Merrill Lynch Pierce Fenner & Smith,merrill_lynch,True,Amanda,Stewart,Mitchell Wealth Management Group,Mitchell Wealth Management Group,6149 Highland Court,Dallas,TX,75201
54,MEMBER_CHANGE,Cetera Financial Group,cetera,True,Sarah,Morris,Williams Wealth Partners,Williams Wealth Partners,6074 Oak Pl,Fort Worth,TX,76101
55,MEMBER_CHANGE,Ridgeway Wealth Management,ridgeway,False,Ashley,Williams,Parker Wealth,Parker Wealth,5894 Monroe Court,Baltimore,MD,21201
56,MEMBER_CHANGE,Woodbury Financial Services,woodbury,True,Ashley,Martin,Kim Advisory Group,Kim Advisory Group,2762 Washington Ln,New York,NY,10022
57,RENAME,LPL Financial,lpl_financial,True,Jennifer,Patel,Patel & Wang Partners,Patel Asset Management Group,4165 Hill Blvd,Philadelphia,PA,19101
58,MEMBER_CHANGE,DA Davidson & Co.,da_davidson,True,Rachel,Smith,Zhang Financial Group,Zhang Financial Group,3744 Park Way,Washington,DC,20001
59,MEMBER_CHANGE,Janney Montgomery Scott,janney,True,Lisa,Brown,White Wealth Management Group,White Wealth Management Group,3264 Lincoln Pl,San Francisco,CA,94101
60,MEMBER_CHANGE,Meridian Private Wealth,meridian_pw,False,Anthony,Stewart,Morgan Investment Partners,Morgan Investment Partners,5853 Church Court,Memphis,TN,38101
61,SPLIT_PARENT,Ridgeway Wealth Management,ridgeway,False,Jessica,Wright,Wright Partners,Wright Partners,1989 Hill Blvd,Pittsburgh,PA,15201
62,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Helen,Morris,Miller Portfolio Group,Miller Portfolio Group,7219 Willow Pl,Milwaukee,WI,53201
63,MEMBER_CHANGE,Woodbury Financial Services,woodbury,True,Susan,Roberts,Davis Asset Management Group,Davis Asset Management Group,9546 Park Rd,Los Angeles,CA,90001
64,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,Matthew,Davis,Smith Asset Management,Smith Asset Management,8921 Union Dr,Louisville,KY,40201
65,MEMBER_CHANGE,Cetera Financial Group,cetera,True,Helen,Moore,Parker Capital Group,Parker Capital Group,5243 Union Ave,Denver,CO,80201
66,MEMBER_CHANGE,Cambridge Investment Research,cambridge_inv,True,Donald,Miller,Parker Asset Management Group,Parker Asset Management Group,5444 Lincoln Rd,Boston,MA,02101
67,MEMBER_CHANGE,Raymond James Financial Services,raymond_james,True,Sarah,Diaz,Flores Institutional Group,Flores Institutional Group,6311 Union Blvd,Richmond,VA,23219
68,MEMBER_CHANGE,National Planning Holdings,nph,True,Dorothy,Cruz,Hill Wealth Advisors,Hill Wealth Advisors,106 River Rd,Fort Worth,TX,76101
69,RENAME,Cetera Financial Group,cetera,True,Rachel,Phillips,Phillips & Brown Group,Phillips Institutional Group,5379 Jefferson Way,Atlanta,GA,30301
70,MEMBER_CHANGE,Ridgeway Wealth Management,ridgeway,False,Ashley,Wilson,Rivera Capital Partners,Rivera Capital Partners,2880 Union Ave,Seattle,WA,98101
71,MEMBER_CHANGE,Cambridge Investment Research,cambridge_inv,True,Richard,Taylor,Wright Private Wealth Group,Wright Private Wealth Group,3948 Union Rd,Columbus,OH,43201
72,MEMBER_CHANGE,Summit Peak Advisors,summit_peak,False,Anthony,Lee,Moore Partners,Moore Partners,857 Lake Way,Richmond,VA,23219
73,MEMBER_CHANGE,Meridian Private Wealth,meridian_pw,False,Rachel,Nguyen,Nelson Family Office,Nelson Family Office,9531 Park Ln,Minneapolis,MN,55401
74,RENAME,DA Davidson & Co.,da_davidson,True,Donald,Moore,Moore & Khan Group,Moore Institutional Group,190 Monroe Ave,Milwaukee,WI,53201
75,MEMBER_CHANGE,Stifel Nicolaus & Company,stifel_nicolaus,True,Jessica,Hill,Khan Family Wealth Group,Khan Family Wealth Group,8586 Jefferson St,Boston,MA,02101
76,MEMBER_CHANGE,Stifel Nicolaus & Company,stifel_nicolaus,True,Mark,Brown,Nelson Investment Group,Nelson Investment Group,7712 Union Court,Boston,MA,02101
77,MEMBER_CHANGE,Woodbury Financial Services,woodbury,True,Anthony,Gomez,Morris Financial Group,Morris Financial Group,8370 Madison Court,Atlanta,GA,30301
78,MEMBER_CHANGE,Highfield Asset Management,highfield,False,Robert,Roberts,Stewart Capital Partners,Stewart Capital Partners,7473 Hill Dr,San Francisco,CA,94101
79,MEMBER_CHANGE,Northgate Investment Partners,northgate,False,Lisa,Allen,Hall Advisors,Hall Advisors,4599 Jefferson Ave,Seattle,WA,98101
80,RENAME,Stifel Nicolaus & Company,stifel_nicolaus,True,Paul,Wright,Wright & Associates,Wright Capital Group,8949 Maple Blvd,Dallas,TX,75201
81,RENAME,Stifel Nicolaus & Company,stifel_nicolaus,True,Nancy,Edwards,Edwards Private Wealth Group,Edwards Investment Group,3605 Maple Ln,Baltimore,MD,21201
82,MEMBER_CHANGE,Oppenheimer & Co.,oppenheimer,True,Susan,Kim,Nelson Asset Management Group,Nelson Asset Management Group,1120 Park Ln,Las Vegas,NV,89101
83,MEMBER_CHANGE,Highfield Asset Management,highfield,False,Paul,Diaz,Edwards Partners,Edwards Partners,9532 Lincoln Way,New York,NY,10001
84,SPLIT_PARENT,Hilliard Lyons,hilliard_lyons,True,Kenneth,Morris,Morris Asset Management Group,Morris Asset Management Group,6965 Central Court,St. Louis,MO,63101
85,SPLIT_PARENT,Highfield Asset Management,highfield,False,Mark,Hall,Hall Advisors,Hall Advisors,4571 Madison Way,New York,NY,10022
86,MEMBER_CHANGE,DA Davidson & Co.,da_davidson,True,Steven,Miller,Parker Institutional Group,Parker Institutional Group,6724 Adams Blvd,Kansas City,MO,64101
87,MEMBER_CHANGE,Parkside Wealth Strategies,parkside,False,Kenneth,Torres,Evans Asset Management,Evans Asset Management,541 Lincoln Pkwy,Portland,OR,97201
88,RENAME,Ridgeway Wealth Management,ridgeway,False,John,Garcia,Garcia & Morris Advisors,Garcia Family Office,2323 Jefferson Blvd,Chicago,IL,60601
89,MERGE_SURVIVOR,Robert W. Baird & Co.,rwbaird,True,Nancy,King,King Advisory Group,King Advisory Group,7549 Spring Pl,Las Vegas,NV,89101
90,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Barbara,Parker,Martin Private Wealth Group,Martin Private Wealth Group,7805 Main Court,Chicago,IL,60601
91,MEMBER_CHANGE,Hilliard Lyons,hilliard_lyons,True,Sarah,Rivera,Diaz Private Wealth Group,Diaz Private Wealth Group,759 Monroe St,Charlotte,NC,28201
92,MEMBER_CHANGE,Edward Jones,edward_jones,True,Amanda,Stewart,Evans Investment Group,Evans Investment Group,4008 Elm Way,San Antonio,TX,78201
93,MEMBER_CHANGE,National Planning Holdings,nph,True,James,Thomas,Nelson Family Wealth Group,Nelson Family Wealth Group,4298 Monroe Pl,San Jose,CA,95101
94,MERGE_SURVIVOR,Woodbury Financial Services,woodbury,True,Megan,Stewart,Stewart Family Wealth Group,Stewart Family Wealth Group,1976 Monroe Blvd,Denver,CO,80201
95,MEMBER_CHANGE,Wells Fargo Advisors,wells_fargo,True,Susan,Jones,Johnson Wealth Partners,Johnson Wealth Partners,9533 Union Ln,Memphis,TN,38101
96,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,David,Huang,Jones Wealth Management,Jones Wealth Management,4078 Cedar Rd,St. Louis,MO,63101
97,MEMBER_CHANGE,Summit Peak Advisors,summit_peak,False,William,Collins,Patel Wealth Management,Patel Wealth Management,772 Willow Court,Milwaukee,WI,53201
98,RENAME,Ridgeway Wealth Management,ridgeway,False,Karen,Jones,Jones Wealth,Jones Asset Management,5690 Main Ln,Minneapolis,MN,55401
99,MERGE_SURVIVOR,Wells Fargo Advisors,wells_fargo,True,Sandra,Torres,Torres Institutional Group,Torres Institutional Group,7632 Liberty Blvd,Milwaukee,WI,53201
100,RENAME,LPL Financial,lpl_financial,True,Susan,Diaz,Diaz & Taylor Advisors,Diaz Wealth Partners,8917 Monroe Way,Kansas City,MO,64101
101,MEMBER_CHANGE,Cetera Financial Group,cetera,True,Emily,Torres,Thompson Capital Group,Thompson Capital Group,4122 Maple Rd,Atlanta,GA,30301
102,RENAME,Stifel Nicolaus & Company,stifel_nicolaus,True,Dorothy,Roberts,Roberts & Diaz Group,Roberts Portfolio Group,6309 Spring St,Minneapolis,MN,55401
103,MEMBER_CHANGE,Meridian Private Wealth,meridian_pw,False,Megan,Nguyen,Anderson Capital Partners,Anderson Capital Partners,3575 Willow Rd,Oklahoma City,OK,73101
104,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Karen,Garcia,Edwards Wealth Partners,Edwards Wealth Partners,9206 Main Court,Jacksonville,FL,32201
105,MERGE_SURVIVOR,Merrill Lynch Pierce Fenner & Smith,merrill_lynch,True,Donald,Reyes,Reyes Asset Management Group,Reyes Asset Management Group,8104 Central Dr,Raleigh,NC,27601
106,MEMBER_CHANGE,Kingsbridge Capital Advisors,kingsbridge,False,Mark,Diaz,Adams Partners,Adams Partners,1624 River Dr,Memphis,TN,38101
107,MERGE_SURVIVOR,Harborview Private Wealth,harborview,False,Donald,Allen,Allen Wealth Management,Allen Wealth Management,6146 Commerce Court,Cleveland,OH,44101
108,RENAME,Hilliard Lyons,hilliard_lyons,True,Sandra,Stewart,Stewart & Nelson Advisors,Stewart Wealth Advisors,5519 Willow Way,San Francisco,CA,94101
109,MEMBER_CHANGE,Janney Montgomery Scott,janney,True,Daniel,Flores,White Private Wealth Group,White Private Wealth Group,3255 Spring Ave,Tampa,FL,33601
110,SPLIT_PARENT,Northgate Investment Partners,northgate,False,Daniel,Thomas,Thomas Advisors,Thomas Advisors,8033 Hill Pkwy,Cleveland,OH,44101
111,MEMBER_CHANGE,Woodbury Financial Services,woodbury,True,Sandra,Brown,Miller Advisory Group,Miller Advisory Group,4953 Lake Pl,Austin,TX,78701
112,MEMBER_CHANGE,Janney Montgomery Scott,janney,True,David,Khan,Collins Wealth Advisors,Collins Wealth Advisors,2173 Hill St,Chicago,IL,60601
113,MEMBER_CHANGE,Securities America,securities_america,True,Patricia,Wang,Edwards Investment Group,Edwards Investment Group,8142 Cedar St,Portland,OR,97201
114,SPLIT_PARENT,Janney Montgomery Scott,janney,True,Patricia,Baker,Baker Financial Group,Baker Financial Group,5682 Washington St,Indianapolis,IN,46201
115,RENAME,Meridian Private Wealth,meridian_pw,False,Patricia,Davis,Davis & Scott Partners,Davis Wealth,6665 Commerce Ave,Portland,OR,97201
116,MEMBER_CHANGE,Kingsbridge Capital Advisors,kingsbridge,False,Daniel,Huang,Moore Capital,Moore Capital,9321 River Ave,Charlotte,NC,28201
117,MEMBER_CHANGE,Wells Fargo Advisors,wells_fargo,True,Richard,Patel,Morris Asset Management Group,Morris Asset Management Group,9866 Broad Dr,Cleveland,OH,44101
118,SPLIT_PARENT,DA Davidson & Co.,da_davidson,True,Ashley,Wang,Wang Financial Group,Wang Financial Group,4971 Highland Ln,Denver,CO,80201
119,MEMBER_CHANGE,National Planning Holdings,nph,True,Ashley,Morgan,Brown Portfolio Group,Brown Portfolio Group,1725 Monroe Dr,Fort Worth,TX,76101
120,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Karen,Jackson,Taylor Advisory Group,Taylor Advisory Group,2947 Central Ave,San Jose,CA,95101
121,RENAME,Morgan Stanley Wealth Management,morgan_stanley,True,Margaret,Adams,Adams & Associates,Adams Family Wealth Group,9829 Commerce Rd,Los Angeles,CA,90001
122,MEMBER_CHANGE,Stifel Nicolaus & Company,stifel_nicolaus,True,Christopher,Young,Collins Wealth Partners,Collins Wealth Partners,7538 Maple Dr,Indianapolis,IN,46201
123,MEMBER_CHANGE,Summit Peak Advisors,summit_peak,False,Charles,Thompson,Parker Advisors,Parker Advisors,7065 Cedar Court,Columbus,OH,43201
124,RENAME,Kingsbridge Capital Advisors,kingsbridge,False,Charles,Wang,Wang & Associates,Wang Investment Partners,2430 Maple St,San Jose,CA,95101
125,RENAME,Summit Peak Advisors,summit_peak,False,Kenneth,Phillips,Phillips Capital,Phillips Wealth Management,4828 Jefferson Ave,Kansas City,MO,64101
126,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,Helen,Gomez,Edwards Family Office,Edwards Family Office,4560 Market Court,Minneapolis,MN,55401
127,MEMBER_CHANGE,Ameriprise Financial Services,ameriprise,True,Jessica,Garcia,Phillips Wealth Management Group,Phillips Wealth Management Group,7178 Adams Pl,St. Louis,MO,63101
128,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Karen,Gomez,Garcia Advisory Group,Garcia Advisory Group,9524 Highland St,San Francisco,CA,94101
129,RENAME,National Planning Holdings,nph,True,Robert,Morris,Morris & Associates,Morris Investment Group,7808 Market Way,San Francisco,CA,94101
130,MERGE_SURVIVOR,LPL Financial,lpl_financial,True,Rachel,Green,Green Institutional Group,Green Institutional Group,8156 Maple Way,Washington,DC,20001
131,MEMBER_CHANGE,Cetera Financial Group,cetera,True,Anthony,Allen,King Institutional Group,King Institutional Group,1813 Washington Pl,Baltimore,MD,21201
132,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,Helen,Harris,Young Family Office,Young Family Office,9112 Oak Way,Phoenix,AZ,85001
133,RENAME,Oppenheimer & Co.,oppenheimer,True,Steven,King,King & Reyes Group,King Private Wealth Group,6722 Market St,Tampa,FL,33601
134,MEMBER_CHANGE,Ameriprise Financial Services,ameriprise,True,Patricia,Turner,Brown Advisory Group,Brown Advisory Group,8594 Willow Pkwy,Minneapolis,MN,55401
135,MEMBER_CHANGE,Kingsbridge Capital Advisors,kingsbridge,False,Donald,Nelson,Morris Partners,Morris Partners,3435 Hill Court,San Diego,CA,92101
136,MEMBER_CHANGE,Parkside Wealth Strategies,parkside,False,Dorothy,White,Adams Capital Partners,Adams Capital Partners,2089 Main Pkwy,Charlotte,NC,28201
137,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,Dorothy,Campbell,Allen Asset Management,Allen Asset Management,324 Central Ln,Phoenix,AZ,85001
138,MEMBER_CHANGE,Stifel Nicolaus & Company,stifel_nicolaus,True,Megan,Thompson,Nelson Private Wealth Group,Nelson Private Wealth Group,2622 Commerce Rd,Miami,FL,33101
139,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,Paul,Khan,Flores Capital Partners,Flores Capital Partners,7836 Lake Way,Boston,MA,02101
140,MERGE_SURVIVOR,Raymond James Financial Services,raymond_james,True,Nancy,Thomas,Thomas Portfolio Group,Thomas Portfolio Group,8427 Adams Blvd,Houston,TX,77001
141,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Margaret,Stewart,Wright Wealth Advisors,Wright Wealth Advisors,4477 Main Rd,Denver,CO,80201
142,MEMBER_CHANGE,Clearwater Capital Group,clearwater,False,Ashley,Evans,Gomez Capital Partners,Gomez Capital Partners,2534 Jefferson Court,Raleigh,NC,27601
143,MEMBER_CHANGE,Hilliard Lyons,hilliard_lyons,True,Anthony,Johnson,Carter Wealth Advisors,Carter Wealth Advisors,6280 Jefferson Pl,Jacksonville,FL,32201
144,MEMBER_CHANGE,Harborview Private Wealth,harborview,False,Joseph,Moore,Roberts Family Office,Roberts Family Office,3926 Monroe Ln,Los Angeles,CA,90001
145,RENAME,Oppenheimer & Co.,oppenheimer,True,Patricia,Collins,Collins Portfolio Group,Collins Asset Management Group,6425 Union Blvd,Minneapolis,MN,55401
146,RENAME,UBS Financial Services,ubs,True,Thomas,Rivera,Rivera Capital Group,Rivera Portfolio Group,5539 Cedar Way,Philadelphia,PA,19101
147,RENAME,Cambridge Investment Research,cambridge_inv,True,Dorothy,Smith,Smith & Anderson Group,Smith Family Wealth Group,2461 Madison Blvd,Houston,TX,77001
148,MEMBER_CHANGE,Commonwealth Financial Network,commonwealth,True,Betty,Flores,Wright Portfolio Group,Wright Portfolio Group,6612 Church Ave,Oklahoma City,OK,73101
149,MEMBER_CHANGE,Meridian Private Wealth,meridian_pw,False,Thomas,Williams,Nguyen Private Wealth,Nguyen Private Wealth,8094 Central St,Richmond,VA,23219
150,MEMBER_CHANGE,Merrill Lynch Pierce Fenner & Smith,merrill_lynch,True,Betty,Davis,Turner Institutional Group,Turner Institutional Group,4808 Lake Ave,Milwaukee,WI,53201
151,RENAME,Wells Fargo Advisors,wells_fargo,True,Richard,Adams,Adams & Scott Group,Adams Investment Group,5006 Main St,Nashville,TN,37201
152,RENAME,Summit Peak Advisors,summit_peak,False,Michael,Young,Young & Associates,Young Private Wealth,6241 Madison Blvd,Charlotte,NC,28201
153,MEMBER_CHANGE,Cambridge Investment Research,cambridge_inv,True,Jessica,Nelson,Roberts Institutional Group,Roberts Institutional Group,3050 Washington Blvd,Phoenix,AZ,85001
154,RENAME,Woodbury Financial Services,woodbury,True,Nancy,Evans,Evans Financial Group,Evans Institutional Group,4045 Commerce Pkwy,Dallas,TX,75201
155,MEMBER_CHANGE,Stifel Nicolaus & Company,stifel_nicolaus,True,Christopher,Johnson,Turner Wealth Partners,Turner Wealth Partners,7629 Hill St,Kansas City,MO,64101
156,MEMBER_CHANGE,Highfield Asset Management,highfield,False,Helen,Chen,Cruz Asset Management,Cruz Asset Management,2688 Maple Way,Washington,DC,20001
157,RENAME,National Planning Holdings,nph,True,Kenneth,Turner,Turner & Associates,Turner Asset Management Group,4197 Jefferson Rd,Jacksonville,FL,32201
158,RENAME,DA Davidson & Co.,da_davidson,True,Patricia,Miller,Miller & Thompson Advisors,Miller Advisory Group,6348 Highland Pl,Portland,OR,97201
159,SPLIT_PARENT,Janney Montgomery Scott,janney,True,Andrew,Johnson,Johnson Institutional Group,Johnson Institutional Group,6584 Hill St,Portland,OR,97201
160,MEMBER_CHANGE,Meridian Private Wealth,meridian_pw,False,Thomas,Anderson,Wang Wealth Management,Wang Wealth Management,8238 River Dr,St. Louis,MO,63101
161,RENAME,Summit Peak Advisors,summit_peak,False,Lisa,White,White & Associates,White Advisors,4206 Union Blvd,Philadelphia,PA,19101
162,SPLIT_PARENT,Highfield Asset Management,highfield,False,Robert,Allen,Allen Capital Partners,Allen Capital Partners,646 Highland Pl,San Diego,CA,92101
163,RENAME,Merrill Lynch Pierce Fenner & Smith,merrill_lynch,True,Andrew,King,King & Lee Group,King Family Wealth Group,6907 Washington Dr,San Diego,CA,92101
164,RENAME,Summit Peak Advisors,summit_peak,False,Jessica,Liu,Liu & Stewart Partners,Liu Private Wealth,8797 Market Rd,San Jose,CA,95101
165,MEMBER_CHANGE,Robert W. Baird & Co.,rwbaird,True,Anthony,Adams,Khan Wealth Partners,Khan Wealth Partners,5649 Cedar Way,Houston,TX,77001
166,MEMBER_CHANGE,Raymond James Financial Services,raymond_james,True,Jennifer,White,Huang Institutional Group,Huang Institutional Group,6611 Central Pl,Phoenix,AZ,85001
