team_name,firm_name,lead_name,email,members,address
Moore Family Office,Crestwood Family Office,Dorothy Brown,,Dorothy Brown|Bob Edwards|Karen Jackson|Ashley Adams,"1722 Commerce Pkwy, Miami, FL 33101"
Miller Institutional Grp,Stifel Nicolaus & Company,"Mitchell, Linda",,Linda Mitchell|Joe Zhang|Dorothy Garcia|Mike Torres|Tom Davis,"6118 Willow St, Nashville, TN 37201"
Diaz & Associates,Ridgeway Wealth Management,Bill Roberts,bill.roberts@ridgewaywm.com,,
Jackson Wlth Mgmt,Northgate Investment Partners,"Brown, Linda",linda.brown@northgateinv.com,Linda Brown|Jim Thompson|Charles Wilson|Jessica Martin|Dan Davis|George Huang|Tom Martin,
Smith Cap Grp,Morgan Stanley Wealth Management,,,Ryan Parker|Tom Stewart|Bob Wang,
Davis & Taylor Adv,Cetera Financial Group,,,Susan Davis|Ashley Rivera,
Family Wlth Grp,Stifel Nicolaus & Company,Jacob Wright,,Jacob Wright|Betty Green|Ed Miller|Linda Collins|Ashley Jones|Charles Parker,"8643 Jefferson St, Dallas, TX 75201"
King Wlth Mgmt,Highfield Asset Management,"Rivera, Susan",,,"2530 Elm Rd, Los Angeles, CA 90001"
Family Wlth Grp,Cetera Financial Group,"Brown, Susan",,Susan Brown|Dorothy Hill,
Miller Cap Grp,Cetera Financial Group,"Cruz, Lisa",,,"7092 Hill Pl, San Jose, CA 95101"
Brown Portfolio Grp,Raymond James Financial Services,Chris Chen,cchen@raymondjames.com,Chris Chen|Ryan Green|Jason Brown|Rick Roberts|Barbara Jackson|Ron Hill,"9301 Spring Ave, Nashville, TN 37201"
Baker Adv Grp,Raymond James Financial Services,"Reyes, Jacob",,,
Evans & Associates,Clearwater Capital Group,Chris Huang,,Chris Huang|Jennifer Scott|Jim Anderson|Charles Roberts|George Hill|Bill Moore|Nancy Campbell|Andy Young,
Johnson Wlth,Crestwood Family Office,,,,"8791 Lincoln Ln, Philadelphia, PA 19101"
Phillips Wlth,Northgate Investment Partners,Bill Kim,,,"961 Washington Pkwy, Houston, TX 77001"
Hall Wlth Mgmt,Ridgeway Wealth Management,,,Bill Smith|Lisa Green|Helen Brown|Helen Cruz,"7342 Hill Dr, Indianapolis, IN 46201"
Cruz Institutional Grp,Wells Fargo Advisors,Margaret Torres,,,"9817 Market Rd, Seattle, WA 98101"
Young Private Wlth,Northgate Investment Partners,David Torres,torresd@northgateinv.com,,"2065 Commerce Ln, New York, NY 10001"
Retirement Solutions Grp,Hilliard Lyons,Dorothy Parker,dparker@hl.com,,"793 Main Way, Indianapolis, IN 46201"
Davis Asset Mgmt Grp,Cetera Financial Group,"Young, Sarah",,Sarah Young|Karen Garcia|Sandra Zhang|Rick Harris|Sandra Gomez|David Hill,"441 Washington Pkwy, San Jose, CA 95101"
Stewart Private Wlth,Meridian Private Wealth,"White, Emily",,,
Scott Cap Grp,Edward Jones,Jason Lee,,,"2519 Cedar Blvd, San Antonio, TX 78201"
Anderson Fin Ptnrs,Kingsbridge Capital Advisors,Bill Anderson,,Bill Anderson|Sarah Huang|Kev King,"8195 Jefferson Pkwy, San Francisco, CA 94101"
Gomez & Anderson Grp,Janney Montgomery Scott,Paul Gomez,,Paul Gomez|Mike Torres,"5866 Maple Rd, Denver, CO 80201"
Jones & Associates,Clearwater Capital Group,,mtorres@clearwatercap.com,,
Brown Family Wlth Grp,Cambridge Investment Research,Charles Brown,cbrown@cambridgeinv.com,Charles Brown|Bob Harris|Tim Adams,"1795 Spring Ave, Minneapolis, MN 55401"
Campbell Portfolio Grp,Ameriprise Financial Services,,,Ron Adams|Ed Phillips|Mike Patel,"2700 Willow Rd, Austin, TX 78701"
Private Wlth Grp,Oppenheimer & Co.,Chris Moore,,Chris Moore|Megan Huang|Lisa Allen|Brian Edwards|Ron Hill,"9241 Lincoln Rd, Baltimore, MD 21201"
Wilson Wlth Mgmt,Ridgeway Wealth Management,,,Linda Rivera|Tom Parker|Ron Chen|Jeff Cruz,
Garcia & Associates,Parkside Wealth Strategies,Tim Collins,,Tim Collins|Jacob Hall,"7037 Willow St, Denver, CO 80201"
Wilson Inv Grp,Edward Jones,Megan Allen,allenm@edwardjones.com,,"1364 Cedar Court, Dallas, TX 75201"
Morgan Wlth Mgmt,Clearwater Capital Group,"Rivera, Rick",,Rick Rivera|Jason Harris|Ashley Evans|Andy Morris|Ashley White|Jessica Harris|Barbara Martin,"2812 Jefferson St, Kansas City, MO 64101"
Yang Retirement Solutions Grp,Janney Montgomery Scott,"Yang, Patricia",yangp@janney.com,,
Brown & Associates,Meridian Private Wealth,"Flores, Barbara",barbara.flores@meridianpw.com,,"7973 Willow Court, Boston, MA 02101"
Garcia & Mitchell Adv,Clearwater Capital Group,,,Sandra Garcia|Barbara Torres|Don Nguyen|David Torres|Mark Johnson,"7491 Willow St, Portland, OR 97201"
Family Wlth Grp,Oppenheimer & Co.,Bill Patel,bill.patel@opco.com,Bill Patel|Ron Chen|Tom Morris|Tim Baker|Ashley Evans|Mark Scott,"5593 Elm Blvd, Minneapolis, MN 55401"
Johnson & Cruz Ptnrs,Morgan Stanley Wealth Management,"Johnson, David",,,
Patel & Jones Adv,Cetera Financial Group,,,Kev Patel|Kev Rivera,"7589 Cedar Way, Los Angeles, CA 90001"
Collins Inv Grp,National Planning Holdings,,,Charles Diaz|Margaret Anderson|George Parker|David Campbell|Karen Jones|Susan Mitchell,"4872 Main Pkwy, Indianapolis, IN 46201"
Carter Cap Grp,Cambridge Investment Research,"Carter, Barbara",,,
Parker Private Client Grp,Stifel Nicolaus & Company,"Parker, Jason",jason.parker@stifel.com,,
Family Wlth Grp,LPL Financial,,,,"7598 River Dr, New York, NY 10022"
Baker & Associates,DA Davidson & Co.,Jessica Baker,jbaker@dadavidson.com,,"699 Park Rd, Raleigh, NC 27601"
Khan Cap Grp,Robert W. Baird & Co.,Ron Flores,,Ron Flores|Linda Torres|Susan Thompson|Tim Morgan|Lisa Liu,"7259 Lincoln Way, Portland, OR 97201"
Reyes & Associates,Summit Peak Advisors,"Reyes, David",david.reyes@summitpeakadv.com,,"1393 Washington Court, Indianapolis, IN 46201"
Allen Cap Ptnrs,Ridgeway Wealth Management,"Nguyen, Bill",nguyenw@ridgewaywm.com,,"9973 Madison Blvd, Atlanta, GA 30301"
Turner & Associates,Cetera Financial Group,"Turner, Paul",,Paul Turner|Ed Taylor|John Moore|Megan Cruz|Ashley Williams|Tom Jones|Don Morgan,"1039 Lincoln Pl, Los Angeles, CA 90001"
Torres Family Office,Kingsbridge Capital Advisors,,,Susan Huang|Ashley Morris|Bill Roberts|Tom Campbell|Helen Harris|Brian Allen,
King & Gomez Adv,Hilliard Lyons,Betty King,kingb@hl.com,,"4666 Cedar St, San Antonio, TX 78201"
Evans Wlth Ptnrs,Ameriprise Financial Services,"Gomez, Sarah",gomezs@ampf.com,Sarah Gomez|Dan Yang|Tim Adams|Rachel Lee,"8147 Cedar Blvd, Philadelphia, PA 19101"
Family Wlth Grp,Oppenheimer & Co.,,,,"1163 Highland Rd, Nashville, TN 37201"
Rivera Adv Grp,LPL Financial,Steve Yang,steve.yang@lpl.com,Steve Yang|Karen Carter,
Nelson Portfolio Grp,National Planning Holdings,,karen.nelson@nph.com,Karen Nelson|Jason Baker|Susan Flores|Jacob Flores|Emily Jones|Tom King|Brian Jones,"9138 Maple Ave, Houston, TX 77001"
Cruz Wlth Adv,Ameriprise Financial Services,Steve Zhang,,Steve Zhang|Sandra Rivera|Mike Chen|George Reyes|Ed Miller,"5744 Highland Pkwy, Houston, TX 77001"
Moore Wlth Ptnrs,Wells Fargo Advisors,"Wang, Lisa",lisa.wang@wellsfargoadv.com,,
Mitchell Private Wlth Grp,Janney Montgomery Scott,"Parker, Betty",,Betty Parker|Chris Parker,"8334 Washington Pkwy, Memphis, TN 38101"
Wright Wlth Mgmt,Highfield Asset Management,,kev.turner@highfieldam.com,Kev Turner|Steve Diaz|Tony Morgan|Emily Flores|Amanda Turner|Sarah Williams,"774 Main Ave, Miami, FL 33101"
Mitchell Inv Ptnrs,Highfield Asset Management,Jessica Torres,,Jessica Torres,"5049 Lake Ln, Seattle, WA 98101"
Flores Fin Grp,LPL Financial,,,Ron Mitchell|Sarah Reyes|Lisa Hill|Tom Morris|Karen Rivera|Sarah Harris,"7709 Spring Pkwy, Philadelphia, PA 19101"
Wlth Mgmt Grp,Ameriprise Financial Services,Joe Thompson,joe.thompson@ampf.com,Joe Thompson|Amanda Flores|Don Huang|Chris Lee|Sarah Kim,"4161 Cedar St, Houston, TX 77001"
King & Associates,National Planning Holdings,,jking@nph.com,,"2710 Market Way, Seattle, WA 98101"
Gomez Cap Grp,Stifel Nicolaus & Company,Kev Huang,khuang@stifel.com,,"897 River Way, New York, NY 10022"
Hill Cap Grp,Hilliard Lyons,"Carter, Ed",,,"841 Oak Pkwy, Charlotte, NC 28201"
Thompson Wlth Mgmt,Northgate Investment Partners,Ed Flores,,,"2046 Cedar Ln, Houston, TX 77001"
Rivera Wlth Mgmt Grp,Cambridge Investment Research,"White, Linda",,Linda White|Dorothy Moore|Barbara Wilson|Amanda King|Jeff Reyes|Jason Gomez,"842 Elm Pl, New York, NY 10022"
Evans Institutional Grp,LPL Financial,,,Betty Evans|Linda Collins|Emily Allen|Patricia Lee|John Torres|Jennifer Cruz,"5002 Spring Court, Washington, DC 20001"
Gomez Wlth Ptnrs,Wells Fargo Advisors,Margaret Gomez,,Margaret Gomez|Emily White|Jason Brown,"536 Commerce Rd, Las Vegas, NV 89101"
Asset Mgmt Grp,Woodbury Financial Services,Karen Rivera,krivera@woodburyfs.com,Karen Rivera|Joe Thomas|John Adams|Sarah Flores|Margaret Rivera|David Cruz|Rick Chen,
Wang Cap Ptnrs,Northgate Investment Partners,Barbara Lee,barbara.lee@northgateinv.com,,"1120 Elm Court, Atlanta, GA 30301"
Wright Wlth Adv,Ameriprise Financial Services,Jessica Wright,,,
Young Family Wlth Grp,Janney Montgomery Scott,"Garcia, Rachel",,,"3496 Commerce Pl, Atlanta, GA 30301"
Khan Inv Grp,Hilliard Lyons,Ken Young,,Ken Young|Jessica Thompson|Dan Reyes|Don Morgan,
Edwards Inv Ptnrs,Parkside Wealth Strategies,Helen Edwards,helen.edwards@parksidewealth.com,,"2349 Lake Dr, Chicago, IL 60601"
Wilson Ptnrs,Ridgeway Wealth Management,"Jones, Charles",charles.jones@ridgewaywm.com,,"9116 Washington Ln, St. Louis, MO 63101"
Garcia Institutional Grp,UBS Financial Services,"Adams, Linda",,Linda Adams|Margaret Liu|Dan Kim|Steve Harris,"9506 Highland St, San Antonio, TX 78201"
Chen Family Office,Parkside Wealth Strategies,Jessica Adams,,Jessica Adams|Jennifer Young|Dorothy Diaz|Linda Liu|Ashley Jones|Sarah Torres,"8216 River St, Phoenix, AZ 85001"
Nelson Wlth Ptnrs,Raymond James Financial Services,Jason Jones,,Jason Jones|Brian Martin|Tim Anderson|Jim Stewart|Jennifer Patel|Tom Allen|Jeff Torres,"3259 Cedar Pl, Minneapolis, MN 55401"
Wilson Fin Grp,Wells Fargo Advisors,Margaret Edwards,,Margaret Edwards|Ashley Morris|Paul Wright|Dorothy Moore|Tim Hill,
Reyes Portfolio Grp,Janney Montgomery Scott,Jennifer Rivera,jennifer.rivera@janney.com,Jennifer Rivera|Dorothy Allen|Jim Martin,
Cruz Wlth Adv,LPL Financial,,ron.liu@lpl.com,Ron Liu|Mark Wilson|Patricia Moore|Tom Taylor|Jennifer Williams,"5195 Cedar Rd, Atlanta, GA 30301"
Phillips Cap Grp,Ameriprise Financial Services,"Reyes, Mike",,,"6913 Highland Way, Atlanta, GA 30301"
Wlth Mgmt Grp,Merrill Lynch Pierce Fenner & Smith,,,,"9072 Market Dr, Portland, OR 97201"
Family Wlth Grp,Wells Fargo Advisors,"Campbell, Barbara",,,"9654 Maple Court, Seattle, WA 98101"
Nelson Portfolio Grp,Cambridge Investment Research,Ryan Brown,ryan.brown@cambridgeinv.com,Ryan Brown|Steve Lee|Jim Stewart,"1045 Jefferson Rd, Nashville, TN 37201"
Edwards Private Wlth Grp,Cetera Financial Group,Matt Miller,,,"8966 Maple Way, New York, NY 10022"
Retirement Solutions Grp,Hilliard Lyons,,hwilliams@hl.com,,"6284 Maple Court, Charlotte, NC 28201"
Chen Ptnrs,Crestwood Family Office,"Chen, Mark",mchen@crestwoodfo.com,Mark Chen|Mark Harris,"472 Jefferson Court, Dallas, TX 75201"
Morris Wlth,Highfield Asset Management,,morrisj@highfieldam.com,,"627 Madison Pkwy, Minneapolis, MN 55401"
& Huang Grp,Merrill Lynch Pierce Fenner & Smith,"Phillips, Rick",,,"7414 Oak Dr, Las Vegas, NV 89101"
Young Inv Grp,Raymond James Financial Services,"Young, Barbara",barbara.young@raymondjames.com,Barbara Young|George Campbell|Mark Flores,"9538 Spring Dr, San Jose, CA 95101"
Brown Wlth Adv,Janney Montgomery Scott,Jason Harris,,Jason Harris|Lisa Diaz|Don Evans|Rick Carter,"9793 Washington Ln, Portland, OR 97201"
Patel Asset Mgmt,Ridgeway Wealth Management,"Patel, Nancy",nancy.patel@ridgewaywm.com,Nancy Patel|Dan Morris,
Moore Fin Ptnrs,Meridian Private Wealth,Kev Miller,,,
Kim Cap Ptnrs,Kingsbridge Capital Advisors,"Allen, Jennifer",jennifer.allen@kingsbridgecap.com,,"6179 Highland Dr, Los Angeles, CA 90001"
Carter & Campbell Adv,Crestwood Family Office,,carterg@crestwoodfo.com,,"7954 Spring Rd, Philadelphia, PA 19101"
Davis Family Wlth Grp,Edward Jones,Jim Williams,,Jim Williams|Sarah Morgan|Andy Nguyen|Dorothy Mitchell,
Allen Inv Ptnrs,Kingsbridge Capital Advisors,Chris Zhang,,Chris Zhang|Sarah Wang|Tony Torres|Sarah Flores|Bob Roberts|Mark Stewart,"5992 Commerce Way, Denver, CO 80201"
Martin Wlth Adv,Raymond James Financial Services,"Rivera, Tom",tom.rivera@raymondjames.com,Tom Rivera|Emily Chen|Don Hall|Tim Yang,"9668 Madison Rd, Washington, DC 20001"
Cruz Cap Grp,Securities America,Patricia Lee,patricia.lee@secam.com,,
Lee Institutional Grp,UBS Financial Services,"Miller, Brian",brian.miller@ubs.com,,
Wang Cap Ptnrs,Ridgeway Wealth Management,,,,"8093 Main Court, New York, NY 10001"
Mitchell Inv Ptnrs,Crestwood Family Office,Lisa King,,Lisa King,
Evans Wlth Adv,Stifel Nicolaus & Company,Emily Roberts,,Emily Roberts|Kev Zhang,"4235 Willow Rd, Miami, FL 33101"
& Torres Ptnrs,Ameriprise Financial Services,,emily.harris@ampf.com,Emily Harris|Nancy Carter|Patricia Brown|Kev Smith|Ron Taylor,"3800 Maple St, Dallas, TX 75201"
Zhang Asset Mgmt Grp,Merrill Lynch Pierce Fenner & Smith,,steve.rivera@ml.com,,"5527 Cedar Court, Washington, DC 20001"
Thompson Wlth Mgmt Grp,National Planning Holdings,,,,
Johnson Adv,Meridian Private Wealth,Linda White,,,"9717 Lincoln Ave, Houston, TX 77001"
Reyes & Associates,Summit Peak Advisors,Ron Reyes,,Ron Reyes|Bill Wright|Megan Morgan,"8304 Willow St, Kansas City, MO 64101"
Hill Private Client Grp,Woodbury Financial Services,"Hill, Megan",,Megan Hill|Helen Nguyen|Sandra Anderson|Ed Gomez|Matt Young|Betty Gomez|Bill Allen,"5447 Hill Way, New York, NY 10001"
Garcia Fin Ptnrs,Ridgeway Wealth Management,,,Linda Yang|Ron Baker|Brian Martin,"4939 Lake Ave, Minneapolis, MN 55401"
King Private Wlth,Crestwood Family Office,Susan Wang,,Susan Wang|Rick Wilson|David Anderson|Sandra Adams,"1845 Main Rd, Los Angeles, CA 90001"
Rivera Asset Mgmt Grp,Securities America,"Harris, Emily",harrise@secam.com,Emily Harris|Megan Patel|Sarah Huang|Nancy Smith|Nancy Morgan|Matt Diaz|Linda Nelson,"1792 Maple Pl, New York, NY 10001"
Yang Wlth Adv,Merrill Lynch Pierce Fenner & Smith,Margaret Thompson,thompsonm@ml.com,Margaret Thompson|Tom Thompson|Dorothy Morris|George Hill,"4077 Market Blvd, Washington, DC 20001"
Jones Inv Grp,Commonwealth Financial Network,,,,
Turner Fin Grp,Stifel Nicolaus & Company,Karen Morris,,,
Adams Private Wlth,Summit Peak Advisors,Linda Nguyen,,Linda Nguyen|Matt Baker|Sarah Anderson|Andy Stewart|Ron Turner|Linda Roberts|Chris Stewart|Linda Scott,
King Family Office,Summit Peak Advisors,,,,"4692 Lincoln Pl, Miami, FL 33101"
Adams Private Wlth,Harborview Private Wealth,Tony Adams,,Tony Adams|Kev Allen|Don Martin,"4873 Maple Ln, Miami, FL 33101"
Collins Family Office,Ridgeway Wealth Management,,,,"6276 Jefferson Pkwy, Los Angeles, CA 90001"
