account_id,account_number,account_type,social_code,broker_id,firm_id,office_id,rep_id,platform_code,nscc_or_direct,preferred_fund_id,preferred_share_class,drip_election,existing_balance_shares,existing_balance_nav
ACCT00033,00092344047,PENSION,798,CNTS,0000CNT001,34356,2122,CNTS,NSCC,AMCRAI,A,N,48042.8673,596692.41
ACCT00034,00095130808,CORPORATE,798,MER,0000MER001,85880,1651,MLCO,NSCC,AMCRAI,I,N,6082.342,75542.69
ACCT00035,00096271130,ROTH_IRA,704,MER,0000MER001,41285,5351,MLCO,NSCC,AMCPCI,A,Y,10292.5341,105292.62
ACCT00036,00092217071,CORPORATE,798,MS,0000MOR001,11220,8508,MSSB,NSCC,AMCPCI,I,N,15877.2421,162424.19
ACCT00037,00095449324,INDIVIDUAL,701,NPC,0000NPC001,27361,6718,NATL,NSCC,AMCECF,I,Y,10736.4002,116489.94
ACCT00038,00096075395,JOINT,702,CNTS,0000CNT001,90173,9666,CNTS,NSCC,AMCPCI,A,Y,7971.5669,81549.13
ACCT00039,00093253031,PENSION,798,CETA,0000CET001,44664,2891,CETA,NSCC,AMCPCI,W,Y,5268.9664,53901.53
ACCT00040,00094533779,TRUST,705,VSR,0000VSR001,54942,4335,VSRF,NSCC,AMCRAI,A,N,14159.6379,175862.7
ACCT00041,00091852264,PENSION,798,CETA,0000CET001,22097,7939,CETA,NSCC,AMCPCI,I,Y,24477.7394,250407.27
ACCT00042,00095394880,INDIVIDUAL,701,LPL,0000LPL001,31178,8239,LPLF,NSCC,AMCPCI,A,N,31891.9575,326254.73
ACCT00043,00093500715,ROTH_IRA,704,VSR,0000VSR001,81511,1590,VSRF,NSCC,AMCECF,A,Y,3854.6686,41823.15
ACCT00044,00096171716,TRUST,705,NPC,0000NPC001,57795,1653,NATL,NSCC,AMCRAI,I,Y,6459.5314,80227.38
ACCT00045,00097817881,CORPORATE,798,UBS,0000UBS001,91351,3532,UBSW,NSCC,AMCRAI,W,Y,5229.4017,64949.17
ACCT00046,00096573147,JOINT,702,SII,0000SII001,63964,5065,SIII,NSCC,AMCRAI,I,Y,1336.8395,16603.55
ACCT00047,00098896868,PENSION,798,MS,0000MOR001,39154,4269,MSSB,NSCC,AMCECF,I,Y,43621.1225,473289.18
ACCT00048,00094240180,IRA,703,FIDO,0000FID001,62227,6378,FMCO,NSCC,AMCRAI,A,Y,1280.8553,15908.22
ACCT00049,00097705490,INDIVIDUAL,701,SII,0000SII001,99065,9785,SIII,NSCC,AMCPCI,A,Y,32109.9388,328484.67
ACCT00050,00095453786,INDIVIDUAL,701,LPL,0000LPL001,15014,2776,LPLF,NSCC,AMCPCI,A,N,29071.4277,297400.71
ACCT00051,00099580255,IRA,703,SCHW,0000SCH001,25157,7311,SCHW,NSCC,AMCPCI,I,N,30349.8218,310478.68
ACCT00052,00099722815,IRA,703,UBS,0000UBS001,80575,4228,UBSW,NSCC,AMCECF,W,Y,21859.27,237173.08
ACCT00053,00093090865,INDIVIDUAL,701,SCHW,0000SCH001,49363,9308,SCHW,NSCC,AMCPCI,I,Y,15764.3907,161269.72
ACCT00054,00093135534,ROTH_IRA,704,CETA,0000CET001,35144,7888,CETA,NSCC,AMCPCI,I,N,34890.6999,356931.86
ACCT00055,00097812810,CORPORATE,798,SCHW,0000SCH001,81819,1006,SCHW,NSCC,AMCRAI,I,Y,28498.3522,353949.53
ACCT00056,00096406444,JOINT,702,RJ,0000RAJ001,70946,8238,RJFS,NSCC,AMCMSA,I,Y,30372.4124,354446.05
ACCT00057,00092422633,JOINT,702,CETA,0000CET001,47196,9445,CETA,NSCC,AMCMSA,W,N,8567.6007,99983.9
ACCT00058,00094940441,TRUST,705,CETA,0000CET001,98184,6085,CETA,NSCC,AMCPCI,A,Y,40939.3309,418809.36
ACCT00059,00098971465,JOINT,702,OSAIC,0000OSA001,90120,2193,OSAI,NSCC,AMCRAI,A,Y,2406.0645,29883.32
ACCT00060,00099294272,CORPORATE,798,SCHW,0000SCH001,62383,4997,SCHW,NSCC,AMCRAI,W,Y,34848.0771,432813.12
ACCT00061,00094671545,CORPORATE,798,CETA,0000CET001,33053,9486,CETA,NSCC,AMCECF,A,Y,38943.1783,422533.48
ACCT00062,00098795419,TRUST,705,LPL,0000LPL001,97500,9702,LPLF,NSCC,AMCRAI,A,N,22877.4451,284137.87
ACCT00063,00099468772,IRA,703,NPC,0000NPC001,65933,9976,NATL,NSCC,AMCMSA,I,Y,40768.8247,475772.18
ACCT00064,00095147994,JOINT,702,CNTS,0000CNT001,93579,5543,CNTS,NSCC,AMCMSA,I,N,13033.6583,152102.79
ACCT00065,00095793722,CORPORATE,798,ICAP,0000ICA001,40735,5451,ICAP,DIRECT,AMCRAI,A,Y,22049.6424,273856.56
ACCT00066,00097426265,TRUST,705,FIDO,0000FID001,30028,4505,FMCO,NSCC,AMCECF,A,Y,7626.4498,82746.98
ACCT00067,00092044645,ROTH_IRA,704,SCHW,0000SCH001,37110,7883,SCHW,NSCC,AMCPCI,I,Y,23349.6227,238866.64
ACCT00068,00091098919,PENSION,798,CNTS,0000CNT001,56105,5892,CNTS,NSCC,AMCECF,I,Y,19081.0133,207028.99
ACCT00069,00094700025,PENSION,798,SII,0000SII001,73993,4595,SIII,NSCC,AMCMSA,I,Y,37401.0319,436470.04
ACCT00070,00097783308,ROTH_IRA,704,SCHW,0000SCH001,31632,8657,SCHW,NSCC,AMCECF,I,Y,16872.8642,183070.58
ACCT00071,00091454696,TRUST,705,NPC,0000NPC001,21003,8022,NATL,NSCC,AMCECF,I,Y,29635.4495,321544.63
ACCT00072,00096492066,ROTH_IRA,704,SII,0000SII001,37742,8449,SIII,NSCC,AMCRAI,A,Y,13081.8001,162475.96
ACCT00073,00098072684,PENSION,798,FIDO,0000FID001,43065,2341,FMCO,NSCC,AMCMSA,A,Y,37625.2902,439087.14
ACCT00074,00092151225,CORPORATE,798,LPL,0000LPL001,95426,1659,LPLF,NSCC,AMCECF,A,Y,11288.6861,122482.24
ACCT00075,00093117636,JOINT,702,UBS,0000UBS001,72070,2874,UBSW,NSCC,AMCECF,I,N,7703.8791,83587.09
ACCT00076,00092921542,ROTH_IRA,704,UBS,0000UBS001,31465,6096,UBSW,NSCC,AMCPCI,A,Y,8472.6783,86675.5
ACCT00077,00097296605,INDIVIDUAL,701,NPC,0000NPC001,61990,4249,NATL,NSCC,AMCPCI,I,Y,33899.6296,346793.21
ACCT00078,00096059717,CORPORATE,798,NPC,0000NPC001,99687,2983,NATL,NSCC,AMCRAI,A,N,34889.9308,433332.94
ACCT00079,00097217147,INDIVIDUAL,701,OSAIC,0000OSA001,19038,9289,OSAI,NSCC,AMCPCI,I,N,21476.0629,219700.12
ACCT00080,00097076506,INDIVIDUAL,701,FIDO,0000FID001,93307,8532,FMCO,NSCC,AMCMSA,I,N,5366.3896,62625.77
ACCT00081,00095531230,ROTH_IRA,704,MS,0000MOR001,90728,9817,MSSB,NSCC,AMCRAI,W,Y,26135.1627,324598.72
ACCT00082,00092453962,ROTH_IRA,704,ICAP,0000ICA001,46559,8385,ICAP,DIRECT,AMCPCI,A,Y,42600.4867,435802.98
ACCT00083,00096452832,ROTH_IRA,704,OSAIC,0000OSA001,33834,8988,OSAI,NSCC,AMCMSA,A,Y,1532.1299,17879.96
ACCT00084,00095635017,PENSION,798,FIDO,0000FID001,82848,1166,FMCO,NSCC,AMCPCI,A,N,14054.9586,143782.23
ACCT00085,00095031966,INDIVIDUAL,701,UBS,0000UBS001,72402,9041,UBSW,NSCC,AMCRAI,W,Y,20380.7634,253129.08
ACCT00086,00095081983,INDIVIDUAL,701,OSAIC,0000OSA001,50135,7046,OSAI,NSCC,AMCECF,A,Y,11157.6604,121060.62
ACCT00087,00096549757,TRUST,705,CAIS,0000CAI001,56112,8434,CAIS,DIRECT,AMCPCI,I,Y,49831.9101,509780.44
ACCT00088,00096294016,IRA,703,RJ,0000RAJ001,25670,9779,RJFS,NSCC,AMCRAI,A,N,36092.0881,448263.73
ACCT00089,00099801946,JOINT,702,MS,0000MOR001,88222,5636,MSSB,NSCC,AMCRAI,W,Y,24261.5095,301327.95
ACCT00090,00096071208,JOINT,702,SII,0000SII001,11854,9751,SIII,NSCC,AMCPCI,A,Y,18107.9654,185244.49
ACCT00091,00093118618,INDIVIDUAL,701,RJ,0000RAJ001,93606,9042,RJFS,NSCC,AMCECF,I,Y,14677.6186,159252.16
ACCT00092,00096716097,INDIVIDUAL,701,SII,0000SII001,34164,1841,SIII,NSCC,AMCPCI,I,Y,23987.839,245395.59
ACCT00093,00092242892,ROTH_IRA,704,SII,0000SII001,85631,1878,SIII,NSCC,AMCECF,A,Y,20095.3014,218034.02
ACCT00094,00092987287,PENSION,798,MS,0000MOR001,83147,7818,MSSB,NSCC,AMCPCI,A,N,49696.5143,508395.34
ACCT00095,00098427625,PENSION,798,NPC,0000NPC001,48974,8025,NATL,NSCC,AMCRAI,I,Y,19080.8635,236984.32
ACCT00096,00092664863,TRUST,705,NPC,0000NPC001,37235,4457,NATL,NSCC,AMCECF,I,Y,48009.428,520902.29
ACCT00097,00092259379,INDIVIDUAL,701,CETA,0000CET001,30517,1043,CETA,NSCC,AMCRAI,A,Y,8773.2961,108964.34
ACCT00098,00095833597,CORPORATE,798,ICAP,0000ICA001,47056,8438,ICAP,DIRECT,AMCMSA,A,Y,1728.7288,20174.27
ACCT00099,00094318855,JOINT,702,CETA,0000CET001,65723,2880,CETA,NSCC,AMCPCI,W,N,29530.5005,302097.02
ACCT00100,00092198058,CORPORATE,798,UBS,0000UBS001,17816,3718,UBSW,NSCC,AMCRAI,A,Y,41348.8949,513553.27
ACCT00101,00096101803,CORPORATE,798,NPC,0000NPC001,62757,5460,NATL,NSCC,AMCPCI,I,N,6305.2475,64502.68
ACCT00102,00098248238,ROTH_IRA,704,CAIS,0000CAI001,52247,5102,CAIS,DIRECT,AMCMSA,A,Y,29942.0294,349423.48
ACCT00103,00091674975,JOINT,702,MER,0000MER001,32962,8708,MLCO,NSCC,AMCECF,W,N,41088.9201,445814.78
ACCT00104,00098312936,ROTH_IRA,704,CETA,0000CET001,93202,9056,CETA,NSCC,AMCPCI,A,Y,49847.5792,509940.74
ACCT00105,00092754894,IRA,703,ICAP,0000ICA001,31079,6403,ICAP,DIRECT,AMCMSA,A,Y,16120.807,188129.82
ACCT00106,00091615675,ROTH_IRA,704,VSR,0000VSR001,69614,2442,VSRF,NSCC,AMCPCI,W,Y,47265.1576,483522.56
ACCT00107,00091019311,IRA,703,RJ,0000RAJ001,96200,9889,RJFS,NSCC,AMCECF,I,Y,43259.0381,469360.56
ACCT00108,00099363326,INDIVIDUAL,701,SCHW,0000SCH001,91973,8242,SCHW,NSCC,AMCRAI,I,Y,18152.79,225457.65
ACCT00109,00099132114,IRA,703,UBS,0000UBS001,25915,1472,UBSW,NSCC,AMCRAI,A,N,21961.9931,272767.95
ACCT00110,00091229419,PENSION,798,NPC,0000NPC001,82384,7684,NATL,NSCC,AMCRAI,W,Y,8003.0704,99398.13
ACCT00111,00093583206,PENSION,798,UBS,0000UBS001,75323,5781,UBSW,NSCC,AMCECF,I,N,47358.331,513837.89
ACCT00112,00095089126,IRA,703,VSR,0000VSR001,69871,3369,VSRF,NSCC,AMCMSA,I,Y,49014.2072,571995.8
ACCT00113,00097961578,TRUST,705,UBS,0000UBS001,54548,9318,UBSW,NSCC,AMCRAI,A,Y,13884.7454,172448.54
ACCT00114,00099214801,INDIVIDUAL,701,SII,0000SII001,29476,8316,SIII,NSCC,AMCPCI,W,N,14997.9369,153428.89
ACCT00115,00097328534,IRA,703,ICAP,0000ICA001,69682,6272,ICAP,DIRECT,AMCPCI,I,Y,38167.3466,390451.96
ACCT00116,00097891662,JOINT,702,VSR,0000VSR001,15720,6213,VSRF,NSCC,AMCMSA,A,N,42815.0475,499651.6
ACCT00117,00093551903,CORPORATE,798,ICAP,0000ICA001,74923,1606,ICAP,DIRECT,AMCMSA,I,Y,49421.8587,576753.09
ACCT00118,00098387112,TRUST,705,CAIS,0000CAI001,23069,9617,CAIS,DIRECT,AMCPCI,A,Y,43722.0997,447277.08
ACCT00119,00093589751,CORPORATE,798,LPL,0000LPL001,19807,8692,LPLF,NSCC,AMCRAI,I,Y,43559.5553,541009.68
ACCT00120,00096512415,TRUST,705,FIDO,0000FID001,98389,9742,FMCO,NSCC,AMCMSA,W,Y,4107.7345,47937.26
ACCT00121,00092147909,CORPORATE,798,FIDO,0000FID001,40771,5708,FMCO,NSCC,AMCMSA,I,Y,1891.3651,22072.23
ACCT00122,00092686231,INDIVIDUAL,701,VSR,0000VSR001,68153,3725,VSRF,NSCC,AMCMSA,A,N,38042.4477,443955.36
ACCT00123,00095921894,INDIVIDUAL,701,RJ,0000RAJ001,56984,7141,RJFS,NSCC,AMCECF,A,Y,39827.5589,432129.01
ACCT00124,00094020853,JOINT,702,MS,0000MOR001,32280,3868,MSSB,NSCC,AMCMSA,I,Y,34121.8385,398201.86
ACCT00125,00099349470,PENSION,798,NPC,0000NPC001,86435,3344,NATL,NSCC,AMCMSA,I,Y,34188.4155,398978.81
ACCT00126,00091157662,CORPORATE,798,ICAP,0000ICA001,70981,5712,ICAP,DIRECT,AMCPCI,I,N,12840.8027,131361.41
ACCT00127,00096018975,JOINT,702,CAIS,0000CAI001,93746,7951,CAIS,DIRECT,AMCECF,I,N,47267.2582,512849.75
ACCT00128,00099106886,ROTH_IRA,704,RJ,0000RAJ001,23979,4886,RJFS,NSCC,AMCPCI,A,Y,49968.7409,511180.22
ACCT00129,00097640518,IRA,703,NPC,0000NPC001,45976,1132,NATL,NSCC,AMCPCI,W,N,14832.0146,151731.51
ACCT00130,00095801541,CORPORATE,798,SII,0000SII001,40162,6772,SIII,NSCC,AMCECF,I,Y,37284.0905,404532.38
ACCT00131,00093294774,JOINT,702,CETA,0000CET001,92345,2591,CETA,NSCC,AMCPCI,W,N,37803.3085,386727.85
ACCT00132,00097121355,INDIVIDUAL,701,CETA,0000CET001,27224,2476,CETA,NSCC,AMCPCI,I,Y,1764.8901,18054.83
ACCT00133,00097138070,CORPORATE,798,FIDO,0000FID001,79579,9221,FMCO,NSCC,AMCMSA,A,Y,10119.6603,118096.44
ACCT00134,00095951651,JOINT,702,SII,0000SII001,54396,2886,SIII,NSCC,AMCPCI,I,Y,48372.4654,494850.32
ACCT00135,00097667458,JOINT,702,MER,0000MER001,83048,6992,MLCO,NSCC,AMCRAI,W,Y,36238.4139,450081.1
ACCT00136,00098630043,ROTH_IRA,704,OSAIC,0000OSA001,58311,5295,OSAI,NSCC,AMCECF,A,N,26874.9582,291593.3
ACCT00137,00098910069,PENSION,798,SCHW,0000SCH001,13280,6374,SCHW,NSCC,AMCPCI,A,N,33774.3441,345511.54
ACCT00138,00096069909,CORPORATE,798,UBS,0000UBS001,95097,7689,UBSW,NSCC,AMCECF,W,Y,41210.382,447132.64
ACCT00139,00092948178,INDIVIDUAL,701,MS,0000MOR001,22739,4846,MSSB,NSCC,AMCECF,A,N,49796.776,540295.02
ACCT00140,00098031780,ROTH_IRA,704,MS,0000MOR001,86983,3531,MSSB,NSCC,AMCMSA,A,Y,33557.2623,391613.25
ACCT00141,00095693260,INDIVIDUAL,701,CETA,0000CET001,14288,7070,CETA,NSCC,AMCMSA,I,Y,20464.9827,238826.35
ACCT00142,00097162857,ROTH_IRA,704,ICAP,0000ICA001,81364,6876,ICAP,DIRECT,AMCRAI,A,Y,5057.7958,62817.82
ACCT00143,00098628891,IRA,703,SCHW,0000SCH001,22015,4475,SCHW,NSCC,AMCRAI,A,N,47455.6383,589399.03
ACCT00144,00095086407,TRUST,705,CETA,0000CET001,26505,4362,CETA,NSCC,AMCECF,A,Y,39361.0501,427067.39
ACCT00145,00094909069,PENSION,798,SII,0000SII001,53064,3417,SIII,NSCC,AMCRAI,I,N,10875.9725,135079.58
ACCT00146,00093927575,IRA,703,LPL,0000LPL001,24408,1422,LPLF,NSCC,AMCRAI,A,Y,27056.7513,336044.85
ACCT00147,00093923366,IRA,703,LPL,0000LPL001,44782,1858,LPLF,NSCC,AMCRAI,I,Y,16256.196,201901.95
ACCT00148,00098520810,ROTH_IRA,704,VSR,0000VSR001,57453,9408,VSRF,NSCC,AMCECF,W,N,3271.5461,35496.28
ACCT00149,00099748499,ROTH_IRA,704,MER,0000MER001,49535,8504,MLCO,NSCC,AMCRAI,I,N,2263.9153,28117.83
ACCT00150,00092811298,INDIVIDUAL,701,LPL,0000LPL001,74260,8267,LPLF,NSCC,AMCMSA,I,Y,21371.0536,249400.2
ACCT00151,00093117143,INDIVIDUAL,701,CNTS,0000CNT001,46046,9984,CNTS,NSCC,AMCPCI,I,N,7501.8579,76744.01
ACCT00152,00098217547,ROTH_IRA,704,FIDO,0000FID001,22999,2874,FMCO,NSCC,AMCPCI,I,N,25326.9986,259095.2
ACCT00153,00094833486,PENSION,798,CETA,0000CET001,64239,6553,CETA,NSCC,AMCRAI,I,Y,22632.5903,281096.77
ACCT00154,00095276341,ROTH_IRA,704,SCHW,0000SCH001,59060,3500,SCHW,NSCC,AMCECF,A,N,21395.5239,232141.43
ACCT00155,00092564141,ROTH_IRA,704,CNTS,0000CNT001,66606,2582,CNTS,NSCC,AMCECF,A,N,41605.4172,451418.78
ACCT00156,00096530541,IRA,703,VSR,0000VSR001,97819,3002,VSRF,NSCC,AMCRAI,I,Y,3093.0508,38415.69
ACCT00157,00095825620,PENSION,798,FIDO,0000FID001,88696,6119,FMCO,NSCC,AMCMSA,W,Y,2667.1594,31125.75
ACCT00158,00094762204,TRUST,705,MER,0000MER001,24184,6736,MLCO,NSCC,AMCRAI,A,N,32871.1415,408259.58
ACCT00159,00098199311,INDIVIDUAL,701,FIDO,0000FID001,83526,1430,FMCO,NSCC,AMCPCI,I,N,11385.3388,116472.02
ACCT00160,00096183902,CORPORATE,798,CNTS,0000CNT001,54541,6751,CNTS,NSCC,AMCPCI,A,Y,9102.762,93121.26
ACCT00161,00092167449,PENSION,798,MS,0000MOR001,28595,1502,MSSB,NSCC,AMCRAI,I,Y,32901.4973,408636.6
ACCT00162,00096719285,TRUST,705,VSR,0000VSR001,30631,7062,VSRF,NSCC,AMCRAI,I,Y,21049.6414,261436.55
ACCT00163,00091834876,IRA,703,VSR,0000VSR001,98338,2336,VSRF,NSCC,AMCECF,A,Y,7863.4372,85318.29
ACCT00164,00097948850,CORPORATE,798,ICAP,0000ICA001,45804,4531,ICAP,DIRECT,AMCMSA,I,N,30393.0928,354687.39
ACCT00165,00099164342,IRA,703,MER,0000MER001,79066,6053,MLCO,NSCC,AMCMSA,A,Y,14233.9989,166110.77
ACCT00166,00094543918,ROTH_IRA,704,UBS,0000UBS001,27987,5186,UBSW,NSCC,AMCECF,A,Y,10300.7139,111762.75
ACCT00167,00093947669,INDIVIDUAL,701,FIDO,0000FID001,26932,7229,FMCO,NSCC,AMCECF,I,N,37376.0048,405529.65
ACCT00168,00091709714,JOINT,702,VSR,0000VSR001,67176,1307,VSRF,NSCC,AMCPCI,A,Y,19913.8516,203718.7
ACCT00169,00097785090,INDIVIDUAL,701,CNTS,0000CNT001,93904,7843,CNTS,NSCC,AMCPCI,I,Y,21521.2859,220162.75
ACCT00170,00098719145,ROTH_IRA,704,MER,0000MER001,57428,2443,MLCO,NSCC,AMCECF,A,Y,8676.4717,94139.72
ACCT00171,00099790632,INDIVIDUAL,701,SII,0000SII001,20308,7484,SIII,NSCC,AMCRAI,I,Y,29484.6773,366199.69
ACCT00172,00092281433,IRA,703,VSR,0000VSR001,76910,2868,VSRF,NSCC,AMCRAI,A,N,38977.9816,484106.53
ACCT00173,00093477824,JOINT,702,CAIS,0000CAI001,40968,2684,CAIS,DIRECT,AMCPCI,A,Y,36396.2174,372333.3
ACCT00174,00092264218,JOINT,702,RJ,0000RAJ001,33218,9095,RJFS,NSCC,AMCRAI,I,Y,7728.2025,95984.28
ACCT00175,00096422534,TRUST,705,OSAIC,0000OSA001,92210,6179,OSAI,NSCC,AMCMSA,W,Y,46215.2975,539332.52
ACCT00176,00095608259,INDIVIDUAL,701,ICAP,0000ICA001,87518,1920,ICAP,DIRECT,AMCMSA,I,Y,31606.1175,368843.39
ACCT00177,00091954456,INDIVIDUAL,701,CAIS,0000CAI001,58331,5703,CAIS,DIRECT,AMCPCI,I,Y,22650.5018,231714.63
ACCT00178,00097450545,PENSION,798,CETA,0000CET001,70648,1672,CETA,NSCC,AMCECF,I,Y,29744.5829,322728.72
ACCT00179,00099411547,PENSION,798,CNTS,0000CNT001,29773,2013,CNTS,NSCC,AMCRAI,A,Y,30289.7911,376199.21
ACCT00180,00093895058,PENSION,798,MER,0000MER001,15130,5059,MLCO,NSCC,AMCPCI,W,N,4308.0237,44071.08
ACCT00181,00095746166,ROTH_IRA,704,ICAP,0000ICA001,60779,7697,ICAP,DIRECT,AMCRAI,A,Y,18705.3139,232320.0
ACCT00182,00092105817,TRUST,705,CETA,0000CET001,53213,2548,CETA,NSCC,AMCECF,W,N,32400.5373,351545.83
ACCT00183,00093522845,ROTH_IRA,704,CETA,0000CET001,53694,2335,CETA,NSCC,AMCPCI,A,N,36214.3094,370472.39
ACCT00184,00097575963,JOINT,702,CETA,0000CET001,26901,2388,CETA,NSCC,AMCPCI,A,Y,48388.0557,495009.81
ACCT00185,00099831414,ROTH_IRA,704,CAIS,0000CAI001,22249,7937,CAIS,DIRECT,AMCPCI,A,N,33538.8084,343102.01
ACCT00186,00094593556,INDIVIDUAL,701,FIDO,0000FID001,54791,8967,FMCO,NSCC,AMCPCI,A,Y,9095.1199,93043.08
ACCT00187,00092696860,JOINT,702,UBS,0000UBS001,76543,9843,UBSW,NSCC,AMCRAI,A,N,14860.0259,184561.52
ACCT00188,00093198638,TRUST,705,CNTS,0000CNT001,88282,7172,CNTS,NSCC,AMCECF,W,Y,16904.5422,183414.28
ACCT00189,00097893063,JOINT,702,MS,0000MOR001,57749,4891,MSSB,NSCC,AMCRAI,W,Y,21939.9029,272493.59
ACCT00190,00096192009,IRA,703,NPC,0000NPC001,71474,4178,NATL,NSCC,AMCMSA,A,Y,26747.1564,312139.32
ACCT00191,00097406756,TRUST,705,CETA,0000CET001,75916,9641,CETA,NSCC,AMCMSA,I,Y,38494.9837,449236.46
ACCT00192,00095194357,PENSION,798,MS,0000MOR001,16839,8873,MSSB,NSCC,AMCRAI,I,Y,7006.0869,87015.6
ACCT00193,00093689594,INDIVIDUAL,701,CAIS,0000CAI001,45755,8361,CAIS,DIRECT,AMCECF,A,N,4285.3688,46496.25
ACCT00194,00094725179,PENSION,798,MS,0000MOR001,69130,6727,MSSB,NSCC,AMCMSA,A,Y,47326.0218,552294.67
ACCT00195,00097478792,INDIVIDUAL,701,SCHW,0000SCH001,20696,7142,SCHW,NSCC,AMCMSA,I,Y,18760.6782,218937.11
ACCT00196,00093450300,IRA,703,LPL,0000LPL001,28035,1627,LPLF,NSCC,AMCECF,W,Y,32533.0381,352983.46
ACCT00197,00098870361,PENSION,798,CNTS,0000CNT001,68799,1086,CNTS,NSCC,AMCMSA,W,Y,41572.4132,485150.06
ACCT00198,00099854536,IRA,703,LPL,0000LPL001,65476,2821,LPLF,NSCC,AMCRAI,A,Y,27485.3318,341367.82
