golden_team_id,team_name,firm_name,crd_number,lead_first_name,lead_last_name,lead_email,lead_phone,city,state,zip,address,aum_millions,num_members
GT0000024,The Jones Financial Group,Janney Montgomery Scott,3138181,Barbara,Jones,bjones@jannmontsc.com,242-515-6974,Portland,OR,97201,"654 Sunset Dr, Portland, OR, 97201",256.2,2
GT0000025,The Gray Financial Group,Oppenheimer & Co,3970445,Brian,Gray,bgray@oppe.com,622-225-3938,Phoenix,AZ,85001,"5443 Jefferson Dr, Suite 3325, Phoenix, AZ, 85001",2129.8,2
GT0000026,The Jones Private Wealth Group,Rockefeller Capital Management,6866294,Edward,Jones,ejones@rockcapi.com,512-433-4652,Baltimore,MD,21201,"388 Washington Way, Suite 3640, Baltimore, MD, 21201",25,2
GT0000027,Scott Wealth Advisors,Janney Montgomery Scott,5382463,Angela,Scott,ascott@jannmontsc.com,382-794-5349,Richmond,VA,23220,"627 Maple Way, Suite 3321, Richmond, VA, 23220",213.0,4
GT0000028,Bennett Wealth Management Team,Hightower Advisors,4188992,Jason,Bennett,jbennett@highadvi.com,460-245-8144,Memphis,TN,38101,"28 Market Ct, Memphis, TN, 38101",313.5,3
GT0000029,Edwards Wealth Advisors,UBS Financial Services,6038571,George,Edwards,gedwards@ubs.com,719-516-7691,Milwaukee,WI,53201,"5345 Madison Ln, Suite 885, Milwaukee, WI, 53201",98.4,5
GT0000030,Carter Financial Group,Edward Jones,1006810,Margaret,Carter,mcarter@edwajone.com,511-493-4443,Detroit,MI,48201,"7044 Financial Rd, Suite 1911, Detroit, MI, 48201",2088.1,3
GT0000031,The Reed Wealth Advisors,Edward Jones,6623525,Jennifer,Reed,jreed@edwajone.com,295-969-4848,Minneapolis,MN,55401,"5086 Park Dr, Suite 289, Minneapolis, MN, 55401",45.1,3
GT0000032,Wood Family Wealth Group,UBS Financial Services,4262081,Mary,Wood,mwood@ubs.com,935-913-7291,Cincinnati,OH,45201,"8100 Madison Dr, Suite 2916, Cincinnati, OH, 45201",207.5,2
GT0000033,Alexander Asset Management Group,Wells Fargo Advisors,9689889,Laura,Alexander,lalexander@wellfargad.com,675-251-5082,Denver,CO,80201,"1989 Lincoln Blvd, Denver, CO, 80201",950.1,6
GT0000034,Price Asset Management Group,Baird,9468772,Susan,Price,sprice@bair.com,636-761-8305,Milwaukee,WI,53201,"2608 Broadway Pl, Suite 1112, Milwaukee, WI, 53201",3639.1,4
GT0000035,The Richardson Wealth Advisors,Rockefeller Capital Management,4934149,Carol,Richardson,crichardson@rockcapi.com,478-543-6238,Charlotte,NC,28201,"8850 Pine Blvd, Suite 1668, Charlotte, NC, 28201",41.9,3
GT0000036,Ramirez Capital Group,UBS Financial Services,8816912,Dorothy,Ramirez,dramirez@ubs.com,625-263-4388,Cleveland,OH,44101,"6884 Madison St, Cleveland, OH, 44101",492.7,6
GT0000037,Cook Wealth Partners,Merrill Lynch,8030010,Edward,Cook,ecook@merrlync.com,751-965-9947,Orlando,FL,32801,"9884 Park Pl, Suite 1885, Orlando, FL, 32801",1478.1,5
GT0000038,Roberts Wealth Advisors,Baird,8841505,John,Roberts,jroberts@bair.com,330-837-9751,San Francisco,CA,94101,"442 Madison St, Suite 1855, San Francisco, CA, 94101",25,3
GT0000039,Morgan Wealth Management Group,Edward Jones,6662319,Rebecca,Morgan,rmorgan@edwajone.com,979-588-5558,Orlando,FL,32801,"6907 Lake Ave, Suite 3168, Orlando, FL, 32801",132.0,6
GT0000040,The Hall Wealth Advisors,RBC Wealth Management,1520596,Michael,Hall,mhall@rbc.com,453-404-1333,Los Angeles,CA,90001,"2497 Park Blvd, Suite 568, Los Angeles, CA, 90001",787.2,6
GT0000041,Ramirez Private Client Group,Mesirow Financial,2921542,Amy,Ramirez,aramirez@mesi.com,367-518-2771,Tampa,FL,33601,"9482 Main Ln, Suite 3819, Tampa, FL, 33601",550.2,5
GT0000042,The Butler Wealth Management Team,LPL Financial,6059717,Ronald,Butler,rbutler@lpl.com,900-814-2983,Houston,TX,77001,"9273 Oak Rd, Suite 2809, Houston, TX, 77001",1019.0,4
GT0000043,Bailey Wealth Management Group,Baird,8713146,William,Bailey,wbailey@bair.com,924-356-8135,Indianapolis,IN,46201,"2886 Market Ln, Indianapolis, IN, 46201",2715.9,6
GT0000044,Cook Capital Group,Mesirow Financial,5118725,Carol,Cook,ccook@mesi.com,288-485-8385,St. Louis,MO,63101,"3996 Lincoln Way, Suite 2124, St. Louis, MO, 63101",1603.7,4
GT0000045,Bell Wealth Partners,LPL Financial,5635017,Daniel,Bell,dbell@lpl.com,769-210-9464,Cleveland,OH,44101,"3131 Pine Dr, Cleveland, OH, 44101",181.4,5
GT0000046,Walker Wealth Advisors,Rockefeller Capital Management,1289293,Susan,Walker,swalker@rockcapi.com,295-501-4630,Las Vegas,NV,89101,"6626 Park Ln, Las Vegas, NV, 89101",1197.5,4
GT0000047,Peterson Wealth Partners,Hightower Advisors,5545223,Mary,Peterson,mpeterson@highadvi.com,513-457-4777,Hartford,CT,06101,"1977 Washington Rd, Suite 2294, Hartford, CT, 06101",98.6,3
GT0000048,Ramirez Investment Group,Rockefeller Capital Management,4256752,Matthew,Ramirez,mramirez@rockcapi.com,503-432-6912,Houston,TX,77001,"2940 Hill St, Houston, TX, 77001",1253.6,3
GT0000049,Garcia Advisory Group,Morgan Stanley,2721135,Paul,Garcia,pgarcia@morgstan.com,212-787-5658,Boston,MA,02101,"7691 Broadway Pl, Suite 310, Boston, MA, 02101",66.7,4
GT0000050,The Cook Wealth Solutions Group,Wells Fargo Advisors,9250138,Amy,Cook,acook@wellfargad.com,275-790-1878,Detroit,MI,48201,"2486 Cedar Ln, Suite 1116, Detroit, MI, 48201",53.1,2
GT0000051,The Parker Financial Group,HighTower,5988757,Susan,Parker,sparker@high.com,802-639-6003,Austin,TX,78701,"9317 Capital St, Austin, TX, 78701",36.0,2
GT0000052,The Clark Investment Group,LPL Financial,5024269,Amy,Clark,aclark@lpl.com,377-765-2229,San Francisco,CA,94101,"2565 Main Way, Suite 2532, San Francisco, CA, 94101",1468.5,5
GT0000053,Jones Investment Group,RBC Wealth Management,5438490,Andrew,Jones,ajones@rbc.com,840-803-4241,Baltimore,MD,21201,"6966 Maple Ct, Suite 710, Baltimore, MD, 21201",538.6,4
GT0000054,The Jackson Wealth Management Group,UBS Financial Services,5842082,Melissa,Jackson,mjackson@ubs.com,649-327-8679,Nashville,TN,37201,"4983 Madison Ln, Suite 2122, Nashville, TN, 37201",357.2,5
GT0000055,Price Capital Group,Morgan Stanley,1348050,David,Price,dprice@morgstan.com,983-888-5415,Louisville,KY,40201,"9442 Oak Blvd, Suite 2768, Louisville, KY, 40201",244.4,5
GT0000056,Scott Financial Group,Edward Jones,9249789,Cynthia,Scott,cscott@edwajone.com,293-681-6700,Cincinnati,OH,45201,"6691 River Rd, Cincinnati, OH, 45201",413.7,3
GT0000057,Turner Investment Group,Rockefeller Capital Management,5234550,Kevin,Turner,kturner@rockcapi.com,531-318-7622,Hartford,CT,06101,"8432 Main Ct, Suite 322, Hartford, CT, 06101",404.1,3
GT0000058,Campbell Asset Management Group,HighTower,8416216,Linda,Campbell,lcampbell@high.com,978-252-4335,Cincinnati,OH,45201,"4376 Commerce Blvd, Cincinnati, OH, 45201",275.3,5
GT0000059,The Flores Wealth Management Team,Rockefeller Capital Management,3657144,Sharon,Flores,sflores@rockcapi.com,518-764-1224,Cincinnati,OH,45201,"9049 Jefferson Ave, Suite 3546, Cincinnati, OH, 45201",123.0,2
GT0000060,Thomas Family Wealth Group,Raymond James,5587308,Ryan,Thomas,rthomas@raymjame.com,625-694-8736,Columbus,OH,43201,"3994 Lincoln Ct, Suite 880, Columbus, OH, 43201",139.6,6
GT0000061,The Bryant Wealth Solutions Group,Raymond James,6702160,Jennifer,Bryant,jbryant@raymjame.com,719-473-1042,Charlotte,NC,28201,"4635 Hill Pl, Charlotte, NC, 28201",341.9,5
GT0000062,Cook Wealth Partners,Janney Montgomery Scott,6398528,Barbara,Cook,bcook@jannmontsc.com,393-914-4912,Baltimore,MD,21201,"9369 Madison Dr, Baltimore, MD, 21201",25,5
GT0000063,Green Private Client Group,Rockefeller Capital Management,3551903,Robert,Green,rgreen@rockcapi.com,707-237-3068,Orlando,FL,32801,"8230 Financial Rd, Orlando, FL, 32801",2043.1,5
GT0000064,The Cox Wealth Management Group,Mesirow Financial,3589751,Richard,Cox,rcox@mesi.com,276-680-5342,San Diego,CA,92101,"5547 Capital Way, San Diego, CA, 92101",209.6,4
GT0000065,Long Capital Group,Steward Partners,1602286,Stephanie,Long,slong@stewpart.com,832-270-4846,Cincinnati,OH,45201,"4709 Park Ave, Suite 503, Cincinnati, OH, 45201",164.7,2
GT0000066,The Perez Wealth Management Group,Stifel Financial,1941524,Jeffrey,Perez,jperez@stif.com,500-567-7141,St. Louis,MO,63101,"7057 Cedar Dr, Suite 2418, St. Louis, MO, 63101",33.6,3
GT0000067,Thompson Financial Group,UBS Financial Services,3401116,Christopher,Thompson,cthompson@ubs.com,437-672-5161,Milwaukee,WI,53201,"7530 Lake St, Milwaukee, WI, 53201",137.8,5
GT0000068,The Torres Financial Advisory Group,Steward Partners,6797629,Laura,Torres,ltorres@stewpart.com,801-506-7951,Las Vegas,NV,89101,"4098 Lincoln Ln, Suite 1675, Las Vegas, NV, 89101",67.6,5
GT0000069,Walker Financial Group,Piper Sandler,1368085,Richard,Walker,rwalker@pipesand.com,874-605-5497,Memphis,TN,38101,"133 Financial St, Memphis, TN, 38101",144.2,5
GT0000070,Torres Financial Group,RBC Wealth Management,4189885,Deborah,Torres,dtorres@rbc.com,835-456-3240,Denver,CO,80201,"1592 Liberty St, Suite 1905, Denver, CO, 80201",1456.1,2
GT0000071,Campbell Wealth Management Team,Raymond James,3217273,Sarah,Campbell,scampbell@raymjame.com,752-574-9697,St. Louis,MO,63101,"8222 Lake Blvd, Suite 3477, St. Louis, MO, 63101",241.8,5
GT0000072,The Nguyen Asset Management Group,Baird,2263313,Angela,Nguyen,anguyen@bair.com,344-972-4696,Baltimore,MD,21201,"6512 Commerce Rd, Suite 1716, Baltimore, MD, 21201",116.1,2
GT0000073,Howard Family Wealth Group,Wells Fargo Advisors,7232293,Steven,Howard,showard@wellfargad.com,310-891-4830,Philadelphia,PA,19101,"7725 Main Ct, Suite 2598, Philadelphia, PA, 19101",35.7,3
GT0000074,Rodriguez Private Client Group,Mesirow Financial,2957497,Betty,Rodriguez,brodriguez@mesi.com,343-246-1609,San Diego,CA,92101,"4987 Broadway Ave, Suite 3734, San Diego, CA, 92101",79.0,6
GT0000075,Roberts Wealth Partners,Mesirow Financial,7960607,Thomas,Roberts,troberts@mesi.com,870-301-9017,Salt Lake City,UT,84101,"6687 Lake St, Salt Lake City, UT, 84101",236.6,3
GT0000076,Stewart Wealth Solutions Group,RBC Wealth Management,7162857,Jeffrey,Stewart,jstewart@rbc.com,757-860-6876,Houston,TX,77001,"993 Madison Ln, Suite 600, Houston, TX, 77001",122.2,5
GT0000077,The Perry Wealth Advisors,LPL Financial,3112652,David,Perry,dperry@lpl.com,778-410-2124,Los Angeles,CA,90025,"9081 Washington Dr, Los Angeles, CA, 90025",300.5,3
GT0000078,Jackson Wealth Management Group,HighTower,3180906,Kevin,Jackson,kjackson@high.com,753-456-3858,Boston,MA,02134,"1802 Main Blvd, Suite 3335, Boston, MA, 02134",102.2,3
GT0000079,Adams Financial Advisory Group,Merrill Lynch,2906718,Sarah,Adams,sadams@merrlync.com,963-265-8802,Los Angeles,CA,90025,"7345 Sunset Ct, Suite 1951, Los Angeles, CA, 90025",588.3,6
GT0000080,Wood Private Client Group,Morgan Stanley,1522621,Mark,Wood,mwood@morgstan.com,262-690-7580,Baltimore,MD,21201,"6985 Maple Pl, Baltimore, MD, 21201",599.9,5
GT0000081,The Hernandez Financial Group,Baird,6455706,William,Hernandez,whernandez@bair.com,590-811-9692,Chicago,IL,60601,"4832 Lincoln Ct, Chicago, IL, 60601",795.1,2
GT0000082,The Flores Wealth Solutions Group,Wells Fargo Advisors,8575834,Michelle,Flores,mflores@wellfargad.com,433-623-6553,Portland,OR,97201,"7431 Madison Way, Portland, OR, 97201",809.3,4
GT0000083,The Green Wealth Partners,Ameriprise Financial,2564141,Jason,Green,jgreen@amer.com,642-298-7105,Kansas City,MO,64101,"2132 Commerce St, Suite 2400, Kansas City, MO, 64101",1933.5,6
GT0000084,Powell Capital Group,Wells Fargo Advisors,1863121,Kevin,Powell,kpowell@wellfargad.com,494-814-6119,Portland,OR,97201,"5762 Maple Ct, Suite 2789, Portland, OR, 97201",618.7,5
GT0000085,Wilson Wealth Solutions Group,Janney Montgomery Scott,8199311,Mark,Wilson,mwilson@jannmontsc.com,774-985-1430,Dallas,TX,75201,"9978 Lake St, Suite 2978, Dallas, TX, 75201",277.0,4
GT0000086,The Baker Wealth Management Group,Janney Montgomery Scott,7724045,Cynthia,Baker,cbaker@jannmontsc.com,271-345-1502,Boston,MA,02134,"1504 Market Dr, Suite 1958, Boston, MA, 02134",51.3,4
GT0000087,Mitchell Private Client Group,Stifel Financial,3610197,Christopher,Mitchell,cmitchell@stif.com,361-972-1815,Memphis,TN,38101,"1337 Lake Pl, Memphis, TN, 38101",31.6,5
GT0000088,The Stewart Investment Group,Oppenheimer & Co,2909540,Karen,Stewart,kstewart@oppe.com,553-640-2816,Columbus,OH,43201,"4641 Financial Pl, Suite 1363, Columbus, OH, 43201",59.5,2
GT0000089,The Phillips Wealth Management Group,HighTower,3302417,Mark,Phillips,mphillips@high.com,982-461-5742,Seattle,WA,98101,"5376 Maple St, Suite 1863, Seattle, WA, 98101",188.2,3
GT0000090,The Carter Private Client Group,Steward Partners,6941939,Thomas,Carter,tcarter@stewpart.com,273-606-1693,Columbus,OH,43201,"7148 Main Pl, Columbus, OH, 43201",535.9,4
GT0000091,Collins Capital Group,Dynasty Financial Partners,6448705,Jessica,Collins,jcollins@dynapart.com,375-832-8538,Minneapolis,MN,55401,"5929 Pine Way, Minneapolis, MN, 55401",294.3,3
GT0000092,The Sanders Advisory Group,Piper Sandler,6205543,Jason,Sanders,jsanders@pipesand.com,963-547-4630,Detroit,MI,48201,"5457 Elm Ave, Suite 567, Detroit, MI, 48201",288.0,6
GT0000093,The Harris Wealth Partners,Janney Montgomery Scott,3910830,Jennifer,Harris,jharris@jannmontsc.com,816-356-2234,Phoenix,AZ,85001,"2903 Liberty Pl, Suite 2409, Phoenix, AZ, 85001",511.3,6
GT0000094,Patterson Wealth Advisors,Dynasty Financial Partners,6303930,Jeffrey,Patterson,jpatterson@dynapart.com,354-650-2118,Cincinnati,OH,45201,"7683 Lincoln Ln, Cincinnati, OH, 45201",426.4,6
GT0000095,Rivera Wealth Management Team,Hightower Advisors,5816353,Michael,Rivera,mrivera@highadvi.com,278-860-2479,Baltimore,MD,21201,"9734 Market Way, Suite 2370, Baltimore, MD, 21201",165.3,2
GT0000096,Brooks Wealth Partners,LPL Financial,3531028,Jeffrey,Brooks,jbrooks@lpl.com,263-661-2695,Columbus,OH,43201,"5627 Pine Ct, Columbus, OH, 43201",276.5,2
GT0000097,The Washington Family Wealth Group,Mesirow Financial,7858012,Donald,Washington,dwashington@mesi.com,546-895-1857,Tampa,FL,33601,"5483 Pine Rd, Suite 2878, Tampa, FL, 33601",123.6,5
GT0000098,The Allen Wealth Solutions Group,HighTower,2367376,Andrew,Allen,aallen@high.com,796-879-3317,Cleveland,OH,44101,"5732 Hill Way, Suite 3003, Cleveland, OH, 44101",493.4,2
GT0000099,Gray Wealth Advisors,Piper Sandler,9831414,Joshua,Gray,jgray@pipesand.com,295-861-7937,Boston,MA,02101,"8332 Sunset St, Suite 838, Boston, MA, 02101",82.7,3
GT0000100,The Bell Private Wealth Group,LPL Financial,2294615,Kevin,Bell,kbell@lpl.com,502-303-9317,Boston,MA,02134,"8844 Market St, Boston, MA, 02134",33.9,6
GT0000101,The Price Financial Advisory Group,Piper Sandler,3777286,Thomas,Price,tprice@pipesand.com,938-648-1715,Atlanta,GA,30301,"6732 Sunset Dr, Atlanta, GA, 30301",670.5,6
GT0000102,The Alexander Private Wealth Group,Mesirow Financial,8868776,Andrew,Alexander,aalexander@mesi.com,398-576-8218,Nashville,TN,37201,"7565 Hill Way, Suite 1814, Nashville, TN, 37201",40.6,3
GT0000103,Sanchez Financial Advisory Group,HighTower,2721170,Melissa,Sanchez,msanchez@high.com,928-728-3042,Los Angeles,CA,90025,"4671 Pine Blvd, Suite 3808, Los Angeles, CA, 90025",52.3,6
GT0000104,Edwards Private Wealth Group,UBS Financial Services,1447451,Charles,Edwards,cedwards@ubs.com,624-254-7495,Pittsburgh,PA,15201,"8225 Sunset Dr, Suite 434, Pittsburgh, PA, 15201",36.8,4
GT0000105,Brown Wealth Management Team,Baird,8926478,Mark,Brown,mbrown@bair.com,912-342-8685,Boston,MA,02134,"7350 Capital St, Boston, MA, 02134",464.2,2
GT0000106,Ramirez Advisory Group,Raymond James,5833542,Steven,Ramirez,sramirez@raymjame.com,443-508-2996,Dallas,TX,75201,"783 Park Way, Dallas, TX, 75201",518.4,6
GT0000107,Rodriguez Wealth Solutions Group,Wells Fargo Advisors,5059048,Ryan,Rodriguez,rrodriguez@wellfargad.com,935-347-5772,Louisville,KY,40201,"7033 Main Rd, Suite 1806, Louisville, KY, 40201",46.8,3
GT0000108,Powell Advisory Group,UBS Financial Services,9825812,Margaret,Powell,mpowell@ubs.com,757-719-9316,Chicago,IL,60601,"9080 Main Way, Chicago, IL, 60601",167.2,2
GT0000109,The Roberts Investment Group,Janney Montgomery Scott,2739191,Nancy,Roberts,nroberts@jannmontsc.com,795-952-6447,Pittsburgh,PA,15201,"2186 Oak Rd, Suite 3432, Pittsburgh, PA, 15201",318.8,3
GT0000110,Patterson Private Client Group,Mesirow Financial,4058117,Deborah,Patterson,dpatterson@mesi.com,338-264-8498,Cincinnati,OH,45201,"606 Hill Dr, Suite 917, Cincinnati, OH, 45201",83.8,2
GT0000111,Flores Capital Group,Hightower Advisors,5800144,Kenneth,Flores,kflores@highadvi.com,565-999-1783,Philadelphia,PA,19101,"5439 Lake Ave, Philadelphia, PA, 19101",1320.6,5
GT0000112,Evans Capital Group,Mesirow Financial,9324908,Sharon,Evans,sevans@mesi.com,908-709-7018,Atlanta,GA,30301,"8508 Lake Ave, Atlanta, GA, 30301",363.2,2
GT0000113,Bennett Advisory Group,Edward Jones,5960015,Jason,Bennett,jbennett@edwajone.com,513-656-7981,St. Louis,MO,63101,"2731 Lincoln Rd, Suite 3077, St. Louis, MO, 63101",575.4,4
GT0000114,The Edwards Wealth Advisors,Ameriprise Financial,7815076,Lisa,Edwards,ledwards@amer.com,572-725-3621,Chicago,IL,60601,"511 Cedar Pl, Suite 375, Chicago, IL, 60601",465.4,3
GT0000115,Coleman Wealth Partners,Janney Montgomery Scott,8548448,Carol,Coleman,ccoleman@jannmontsc.com,579-580-8273,Memphis,TN,38101,"1260 Financial Blvd, Suite 1730, Memphis, TN, 38101",482.2,4
GT0000116,The Scott Wealth Management Team,RBC Wealth Management,9372568,Betty,Scott,bscott@rbc.com,730-596-2929,Atlanta,GA,30301,"4289 Lake Pl, Suite 2606, Atlanta, GA, 30301",281.5,4
GT0000117,The Bell Wealth Management Team,LPL Financial,8467726,Ashley,Bell,abell@lpl.com,289-898-6236,Chicago,IL,60601,"5693 Pine Ct, Suite 3750, Chicago, IL, 60601",25,4
GT0000118,Lee Asset Management Group,Edward Jones,4762150,Stephanie,Lee,slee@edwajone.com,324-405-3275,Columbus,OH,43201,"3879 Broadway St, Suite 2444, Columbus, OH, 43201",524.3,4
GT0000119,The Peterson Financial Group,Raymond James,9030667,Ryan,Peterson,rpeterson@raymjame.com,738-620-7708,Chicago,IL,60601,"9420 Pine Blvd, Chicago, IL, 60601",43.5,2
GT0000120,The Morgan Wealth Partners,Hightower Advisors,4052834,Jeffrey,Morgan,jmorgan@highadvi.com,986-332-8088,Hartford,CT,06101,"8239 Oak Ave, Suite 1345, Hartford, CT, 06101",15000,3
GT0000121,Adams Wealth Partners,RBC Wealth Management,5604524,Christopher,Adams,cadams@rbc.com,328-840-5961,Chicago,IL,60614,"8741 Pine Ct, Chicago, IL, 60614",243.1,6
GT0000122,Kelly Financial Advisory Group,Raymond James,1691125,Amy,Kelly,akelly@raymjame.com,229-283-1744,Memphis,TN,38101,"9450 Lake Dr, Memphis, TN, 38101",1344.6,5
GT0000123,Henderson Family Wealth Group,Merrill Lynch,7813102,Lisa,Henderson,lhenderson@merrlync.com,504-664-2195,Nashville,TN,37201,"982 Elm Pl, Suite 2002, Nashville, TN, 37201",28.3,3
GT0000124,Bennett Wealth Partners,Raymond James,7689354,Kevin,Bennett,kbennett@raymjame.com,333-978-7070,Pittsburgh,PA,15201,"8438 Commerce Ave, Suite 2010, Pittsburgh, PA, 15201",308.6,2
GT0000125,The Flores Financial Advisory Group,RBC Wealth Management,8015136,Paul,Flores,pflores@rbc.com,454-363-6364,Los Angeles,CA,90025,"9465 River Dr, Los Angeles, CA, 90025",182.1,5
GT0000126,Morgan Investment Group,Rockefeller Capital Management,2510773,Jennifer,Morgan,jmorgan@rockcapi.com,602-717-8491,New York,NY,10017,"3945 Washington Rd, Suite 1252, New York, NY, 10017",768.2,5
GT0000127,The Jenkins Investment Group,Rockefeller Capital Management,7136730,Karen,Jenkins,kjenkins@rockcapi.com,982-612-6995,Houston,TX,77001,"742 Madison St, Suite 897, Houston, TX, 77001",25.7,4
GT0000128,Torres Capital Group,UBS Financial Services,5692934,Susan,Torres,storres@ubs.com,838-896-2946,Hartford,CT,06101,"2109 Maple Way, Suite 1488, Hartford, CT, 06101",695.2,6
GT0000129,Campbell Private Wealth Group,Raymond James,6587495,Amy,Campbell,acampbell@raymjame.com,685-731-8487,Columbus,OH,43201,"2441 Capital Ct, Suite 3914, Columbus, OH, 43201",339.5,6
GT0000130,Lee Financial Group,Piper Sandler,6643410,Kenneth,Lee,klee@pipesand.com,719-721-9721,Salt Lake City,UT,84101,"8026 Financial Ln, Suite 168, Salt Lake City, UT, 84101",266.3,4
GT0000131,Long Capital Group,Wells Fargo Advisors,4817541,Kevin,Long,klong@wellfargad.com,938-252-8871,Cincinnati,OH,45201,"2794 Market Way, Suite 2888, Cincinnati, OH, 45201",936.7,3
GT0000132,The Brooks Private Wealth Group,Wells Fargo Advisors,6262886,Robert,Brooks,rbrooks@wellfargad.com,628-355-7765,Las Vegas,NV,89101,"3341 Jefferson Ct, Las Vegas, NV, 89101",307.0,5
GT0000133,The Gonzales Private Client Group,Morgan Stanley,9025733,Rebecca,Gonzales,rgonzales@morgstan.com,738-585-6140,Austin,TX,78701,"2838 Lincoln Ct, Suite 1551, Austin, TX, 78701",324.3,4
